Product name,Description,Slug,SKU,Auto Generate SKU,Categories,Status,Is featured?,Brand,Product collections,Labels,Taxes,Images,Price,Product attributes,Import type,Is variation default?,Stock status,With storehouse management,Quantity,Allow checkout when out of stock,Sale price,Start date sale price,End date sale price,Weight,Length,Wide,Height,Cost per item,Barcode,Content,Tags,Vendor
Dug Dug Backrest with Carrier Heavy Duty for Royal Enfield Super Meteor 650,"Weight
3.0 kg",-,DUGDUG-1655,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2023/09/dug-dug-super-meteor-650-backrest-with-carrier-510x383.webp'],"₹4,999.00",-,-,-,-,-,-,-,"₹2,999.00",-,-,-,-,-,-,-,-,-,-,-
OEM Type Backrest Heavy Quality for Royal Enfield Super Meteor 650,"Weight
2.0 kg",-,DUGDUG-1613,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2023/07/Dug-Dug-Original-Backrest-for-Royal-Enfield-Super-Meteor-650-2-510x230.jpg'],"₹3,700.00",-,-,-,-,-,-,-,"₹1,999.00",-,-,-,-,-,-,-,-,-,-,-
Dug Dug Cushion Backrest with Carrier for Super Meteor 650,"Weight
2.0 kg",-,DUGDUG-1574,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2023/05/Dug-Dug-Super-Meteor-650-Backrest-with-Carrier-510x510.jpg'],"₹3,600.00",-,-,-,-,-,-,-,"₹2,200.00",-,-,-,-,-,-,-,-,-,-,-
New Aluminium CNC Backrest for Royal Enfield Hunter 350 Type 3,"Weight
2.0 kg",-,DUGDUG-1534,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/12/backrest-for-royal-enfield-hunter-350-2-510x747.jpg'],"₹1,999.00",-,-,-,-,-,-,-,"₹1,250.00",-,-,-,-,-,-,-,-,-,-,-
New Aluminium CNC Backrest for Royal Enfield Hunter 350 Type 2,"Weight
2.0 kg",-,DUGDUG-1533,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/12/backrest-for-royal-enfield-hunter-350-510x939.jpg'],"₹1,999.00",-,-,-,-,-,-,-,"₹1,250.00",-,-,-,-,-,-,-,-,-,-,-
Backrest with Cushion for Royal Enfield Hunter 350,"Weight
1.0 kg",-,DUGDUG-1517,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/11/dug-dug-royal-enfield-hunter-350-backrest-510x513.jpg'],"₹1,999.00",-,-,-,-,-,-,-,₹950.00,-,-,-,-,-,-,-,-,-,-,-
Dug Dug Touring Kit for Royal Enfield Hunter 350 Type 2,"Weight
10 kg",-,DUGDUG-1507,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/10/Dug-Dug-Touring-Kit-for-Royal-Enfield-Hunter-350-Type-2-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/09/e48f3f60df1a4871951c8bed1db6c9b5-510x1124.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/09/da1317e6fa7148cabe9f8fee53752193-510x1124.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/09/d677ecb958f347c6b1887e5662a942ff-510x1124.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/10/dug-dug-hunter-350-saddle-stay-510x366.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/10/IMG-20221001-WA0058-510x416.jpg']","₹11,000.00",-,-,-,-,-,-,-,"₹7,500.00",-,-,-,-,-,-,-,-,-,-,-
Dug Dug Touring Kit for Royal Enfield Hunter 350 Type 1,"Weight
10 kg",-,DUGDUG-1506,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/10/Dug-Dug-Touring-Kit-for-Royal-Enfield-Hunter-350-Type-1-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/09/IMG-20220918-WA0011-510x287.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/10/dug-dug-hunter-350-crash-guard--510x471.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/10/dug-dug-hunter-350-saddle-stay-510x366.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/10/IMG-20221001-WA0058-510x416.jpg']","₹9,999.00",-,-,-,-,-,-,-,"₹6,200.00",-,-,-,-,-,-,-,-,-,-,-
Hunter 350 Backrest with Carrier Top Rack Plate,"Weight
2.5 kg",-,DUGDUG-1486,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/08/ca472eea271a49d8b8d37b3e630ce006-510x375.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/12/dug-dug-royal-enfield-hunter-350-backrest-with-carrier-1-510x907.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/12/dug-dug-royal-enfield-hunter-350-backrest-with-carrier-2-510x287.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/08/afb753356acb429ead79caeca53646a0-510x715.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/10/IMG-20221001-WA0058-510x416.jpg']","₹2,499.00",-,-,-,-,-,-,-,"₹1,750.00",-,-,-,-,-,-,-,-,-,-,-
New Aluminium CNC Backrest for Royal Enfield Hunter 350 Type 1,"Weight
2.5 kg",-,DUGDUG-1455,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/09/IMG-20220918-WA0012-510x383.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/10/dug-dug-genuine-backrest-fo-royal-enfield-hunter-350-510x287.jpg']","₹1,999.00",-,-,-,-,-,-,-,"₹1,250.00",-,-,-,-,-,-,-,-,-,-,-
Avenger Backrest with Carrier,"Weight
2.0 kg",-,DUGDUG-1440,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/08/fa3e8e33384b490ba70a1d7060ed10ad-510x383.jpg'],"₹1,499.00",-,-,-,-,-,-,-,₹950.00,-,-,-,-,-,-,-,-,-,-,-
New CNC Cut Backrest for Royal Enfield Classic Reborn,"Weight
1.5 kg",-,DUGDUG-1433,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/08/IMG-20220828-WA0023-510x680.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/09/IMG-20220907-WA0017-510x673.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/10/dug-dug-classic-reborn-backrest-aluminium-510x680.jpg']","₹3,999.00",-,-,-,-,-,-,-,"₹1,450.00",-,-,-,-,-,-,-,-,-,-,-
Dug Dug Meteor Backrest Extension Kit with Nuts and Bolts,"Dug Dug Meteor Backrest Extension Kit with Nuts and Bolts for Pillion Support and Comfortable Long Rides




Weight
1.0 kg",-,DUGDUG-1424,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/05/Dug-Dug-Meteor-350-Backrest-Extension-Kit-with-nuts-and-boths-2-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/10/dug-dug-meteor-350-backrest-extension-extender-kit-2-510x287.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/10/dug-dug-meteor-350-backrest-extension-extender-kit-1-510x287.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/05/Dug-Dug-Meteor-350-Backrest-Extension-Kit-with-nuts-and-boths-1-510x499.jpg']",₹750.00,-,-,-,-,-,-,-,₹499.00,-,-,-,-,-,-,-,-,-,-,-
Dug Dug Classic Reborn Backrest with Carrier Heavy Quality,"Weight
3.0 kg",-,DUGDUG-1251,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/02/dug-dug-royal-enfield-classic-reborn-backrest-with-carrier-1-510x235.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/02/dug-dug-royal-enfield-classic-reborn-backrest-with-carrier-2-510x383.jpg']","₹2,999.00",-,-,-,-,-,-,-,"₹1,850.00",-,-,-,-,-,-,-,-,-,-,-
Dug Dug Classic Reborn Backrest with Carrier Heavy Quality,"Weight
3.0 kg",-,DUGDUG-1251,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/02/dug-dug-royal-enfield-classic-reborn-backrest-with-carrier-1-510x235.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/02/dug-dug-royal-enfield-classic-reborn-backrest-with-carrier-2-510x383.jpg']","₹2,999.00",-,-,-,-,-,-,-,"₹1,850.00",-,-,-,-,-,-,-,-,-,-,-
New STOP LED Backrest for Royal Enfield Classic Standard Electra,"Weight
0.8 kg",-,DUGDUG-1166,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2021/09/new-LED-STOP-Backrest-for-royal-enfield-classic-350-dug-dug-motorcycles-510x574.jpg'],"₹1,250.00",-,-,-,-,-,-,-,₹700.00,-,-,-,-,-,-,-,-,-,-,-
