Product name,Description,Slug,SKU,Auto Generate SKU,Categories,Status,Is featured?,Brand,Product collections,Labels,Taxes,Images,Price,Product attributes,Import type,Is variation default?,Stock status,With storehouse management,Quantity,Allow checkout when out of stock,Sale price,Start date sale price,End date sale price,Weight,Length,Wide,Height,Cost per item,Barcode,Content,Tags,Vendor
Crash Guard with Sliders for TVS Ronin 225cc Heavy Duty 4 Sliders,-,-,DUGDUG-1696,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2023/10/tvs-ronin-crash-guard-with-sliders-510x510.webp'],"₹3,500.00",-,-,-,-,-,-,-,"₹2,500.00",-,-,-,-,-,-,-,-,-,-,-
Crash Guard with Slider for Royal Enfield Hunter 350 Type 3,-,-,DUGDUG-1693,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2023/10/crash-guard-with-slider-for-royal-enfield-hunter-350_001_001-510x467.webp'],"₹3,999.00",-,-,-,-,-,-,-,"₹2,500.00",-,-,-,-,-,-,-,-,-,-,-
Hunter 4 Slider Crash Guard Heavy Quality for Royal Enfield Hunter 350,"Weight
3.5 kg",-,DUGDUG-1677,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2023/10/hunter-crash-guard-with-4-sliders-dug-dug-motorcycles-510x383.webp', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2023/10/royal-enfield-hunter-350-4-sider-crash-guard-5-510x510.webp', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2023/10/royal-enfield-hunter-350-4-sider-crash-guard-4-510x510.webp', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2023/10/royal-enfield-hunter-350-4-sider-crash-guard-3-510x510.webp', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2023/10/royal-enfield-hunter-350-4-sider-crash-guard-2-510x510.webp', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2023/10/royal-enfield-hunter-350-4-sider-crash-guard-1-510x510.webp']","₹3,999.00",-,-,-,-,-,-,-,"₹2,500.00",-,-,-,-,-,-,-,-,-,-,-
Hero Splendor Crash Guard Heavy Quality Direct Fit Dug Dug Motorcycles,"Weight
3.0 kg",-,DUGDUG-1678,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2023/10/splendor-crash-guard-with-slider-dug-dug-motorcycles-510x576.webp'],"₹1,999.00",-,-,-,-,-,-,-,"₹1,100.00",-,-,-,-,-,-,-,-,-,-,-
Dug Dug Super Meteor 650 OEM Type Crash Guard,"Weight
3.0 kg",-,DUGDUG-1656,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2023/09/super-meteor-650-oem-type-crash-guard-1-510x325.webp', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2023/09/super-meteor-650-oem-type-crash-guard-2-510x383.webp']","₹3,999.00",-,-,-,-,-,-,-,"₹1,950.00",-,-,-,-,-,-,-,-,-,-,-
4 Slider Crash Guard Heavy Quality for Royal Enfield Hunter 350,"Note: Sump Guard will not fit this crash guard




Weight
3.5 kg",-,DUGDUG-1577,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2023/05/4-slider-hunter-crash-guard-510x476.jpg'],"₹3,999.00",-,-,-,-,-,-,-,"₹2,500.00",-,-,-,-,-,-,-,-,-,-,-
Dug Dug Super Meteor 650 Heavy Quality 4 Slider Crash Guard – Type 2,"Weight
5.0 kg",-,DUGDUG-1573,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2023/05/Dug-Dug-Super-Meteor-650-4-Slider-Crash-Guard-Type-2-510x510.jpg'],"₹4,999.00",-,-,-,-,-,-,-,"₹2,500.00",-,-,-,-,-,-,-,-,-,-,-
Dug Dug Super Meteor 650 Heavy Quality 4 Slider Crash Guard – Type 1,"Weight
5.0 kg",-,DUGDUG-1572,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2023/05/Dug-Dug-Super-Meteor-650-4-Slider-Crash-Guard-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2023/07/dug-dug-4-Slider-crash-guard-for-royal-enfield-super-meteor-650-510x612.jpg']","₹4,999.00",-,-,-,-,-,-,-,"₹2,500.00",-,-,-,-,-,-,-,-,-,-,-
New Heavy Crash Guard with 4 Slider for Royal Enfield Hunter 350,"Weight
4.0 kg",-,DUGDUG-1565,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2023/10/royal-enfield-hunter-350-4-slider-crash-guard-hp-heavy-type-1-510x510.webp', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2023/03/hunter-350-4-slider-heavy-crash-guard-dug-dug-motorcycles-2-510x768.webp', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2023/03/hunter-350-4-slider-heavy-crash-guard-dug-dug-motorcycles-510x286.webp', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2023/10/royal-enfield-hunter-350-4-slider-crash-guard-hp-heavy-type-6-510x510.webp', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2023/10/royal-enfield-hunter-350-4-slider-crash-guard-hp-heavy-type-5-510x510.webp', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2023/10/royal-enfield-hunter-350-4-slider-crash-guard-hp-heavy-type-4-510x510.webp', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2023/10/royal-enfield-hunter-350-4-slider-crash-guard-hp-heavy-type-3-510x510.webp', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2023/10/royal-enfield-hunter-350-4-slider-crash-guard-hp-heavy-type-2-510x510.webp']","₹3,999.00",-,-,-,-,-,-,-,"₹2,999.00",-,-,-,-,-,-,-,-,-,-,-
Dug Dug Touring Kit for Royal Enfield Hunter 350 Type 2,"Weight
10 kg",-,DUGDUG-1507,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/10/Dug-Dug-Touring-Kit-for-Royal-Enfield-Hunter-350-Type-2-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/09/e48f3f60df1a4871951c8bed1db6c9b5-510x1124.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/09/da1317e6fa7148cabe9f8fee53752193-510x1124.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/09/d677ecb958f347c6b1887e5662a942ff-510x1124.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/10/dug-dug-hunter-350-saddle-stay-510x366.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/10/IMG-20221001-WA0058-510x416.jpg']","₹11,000.00",-,-,-,-,-,-,-,"₹7,500.00",-,-,-,-,-,-,-,-,-,-,-
