Product name,Description,Slug,SKU,Auto Generate SKU,Categories,Status,Is featured?,Brand,Product collections,Labels,Taxes,Images,Price,Product attributes,Import type,Is variation default?,Stock status,With storehouse management,Quantity,Allow checkout when out of stock,Sale price,Start date sale price,End date sale price,Weight,Length,Wide,Height,Cost per item,Barcode,Content,Tags,Vendor
Sump Guard Engine Guard for Royal Enfield Super Meteor 650 – Black,"Weight
2.0 kg",-,DUGDUG-1614,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2023/07/Dug-Dug-Original-Sump-Guard-for-Royal-Enfield-Super-Meteor-650-2-510x370.jpg'],"₹2,599.00",-,-,-,-,-,-,-,"₹1,550.00",-,-,-,-,-,-,-,-,-,-,-
"OEM Type Engine Guard Sump Guard for Royal Enfield UCE Classic 350, Standard, Electra – Black","Weight
2.0 kg",-,DUGDUG-1585,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2023/05/royal-enfield-classic-standard-electra-oem-engine-plate-engine-guard-2-510x680.jpg'],"₹3,500.00",-,-,-,-,-,-,-,"₹1,700.00",-,-,-,-,-,-,-,-,-,-,-
"OEM Type Engine Guard Sump Guard for Royal Enfield UCE Classic 350, Standard, Electra – Silver","Weight
2.0 kg",-,DUGDUG-1584,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2023/05/royal-enfield-classic-standard-electra-oem-engine-plate-engine-guard-1-510x680.jpg'],"₹3,500.00",-,-,-,-,-,-,-,"₹1,700.00",-,-,-,-,-,-,-,-,-,-,-
Engine Guard for Royal Enfield Hunter 350,"Weight
2.0 kg",-,DUGDUG-1532,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/12/engine-plate-for-royal-enfield-hunter-350-510x858.jpg'],"₹1,999.00",-,-,-,-,-,-,-,"₹1,250.00",-,-,-,-,-,-,-,-,-,-,-
Royal Enfield Hunter 350 Sump Guard with Fittings – Silver,"Weight
2.0 kg",-,DUGDUG-1474,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/09/IMG-20220917-WA0031-510x311.jpg'],"₹3,999.00",-,-,-,-,-,-,-,"₹1,250.00",-,-,-,-,-,-,-,-,-,-,-
Royal Enfield Hunter 350 Sump Guard with Fittings – Black,"Weight
2.0 kg",-,DUGDUG-1473,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/09/IMG-20220917-WA0033-510x322.jpg'],"₹3,500.00",-,-,-,-,-,-,-,"₹1,250.00",-,-,-,-,-,-,-,-,-,-,-
Royal Enfield Hunter 350 Sump Guard with Fittings – Black,"Weight
2.0 kg",-,DUGDUG-1473,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/09/IMG-20220917-WA0033-510x322.jpg'],"₹3,500.00",-,-,-,-,-,-,-,"₹1,250.00",-,-,-,-,-,-,-,-,-,-,-
Dug Dug CLASSIC Engine Guard Sump Guard For Royal Enfield Classic Reborn,"Weight
1.0 kg",-,DUGDUG-1361,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/03/dug-dug-royal-enfield-classic-reborn-meteor-350-engine-guard-plate-1.jpg-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/03/dug-dug-royal-enfield-classic-reborn-meteor-350-engine-guard-plate-2.jpg-510x510.jpg']",$30.97,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-
Dug Dug BULLET Engine Guard Sump Guard for Royal Enfield Classic Reborn/Meteor 350,"Weight
1.0 kg",-,DUGDUG-1360,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/03/dug-dug-royal-enfield-classic-reborn-meteor-350-engine-guard-plate-1-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/03/dug-dug-royal-enfield-classic-reborn-meteor-350-engine-guard-plate-2-510x510.jpg']",₹999.00,-,-,-,-,-,-,-,₹650.00,-,-,-,-,-,-,-,-,-,-,-
Dug Dug Aluminium Sump Guard Engine Guard Bash Plate for Classic Reborn and Meteor 350 – Black,"Weight
2.0 kg",-,DUGDUG-1335,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/02/dug-dug-aluminium-bash-plate-sump-guard-for-royal-enfield-meteor-350-and-classic-reborn-2-min.jpg'],"₹2,600.00",-,-,-,-,-,-,-,"₹1,250.00",-,-,-,-,-,-,-,-,-,-,-
Dug Dug Sump Guard Engine Guard Bash Plate for Reborn and Meteor 350,"Weight
1.5 kg",-,DUGDUG-1246,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/02/dug-dug-royal-enfield-classic-reborn-meteor-350-engine-guard-sump-guard-510x485.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/03/dug-dug-royal-enfield-classic-reborn-meteor-350-sump-guard-engine-guard-1-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/03/dug-dug-royal-enfield-classic-reborn-meteor-350-sump-guard-engine-guard-3-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/03/dug-dug-royal-enfield-classic-reborn-meteor-350-sump-guard-engine-guard-2-510x510.jpg']","₹2,600.00",-,-,-,-,-,-,-,"₹1,250.00",-,-,-,-,-,-,-,-,-,-,-
Dug Dug Classic Reborn Sump Guard Engine Guard Bash Plate – Black,"Weight
1.2 kg",-,DUGDUG-1188,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2021/10/dug-dug-royal-enfield-classic-reborn-sump-guard-engine-guard-510x602.jpg'],"₹1,999.00",-,-,-,-,-,-,-,"₹1,200.00",-,-,-,-,-,-,-,-,-,-,-
Dug Dug Sump Guard Engine Bash Plate for Meteor 350 Stainless Steel – Black,"Weight
1.2 kg",-,DUGDUG-1186,-,-,-,-,-,-,-,-,"[""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20510%20510'%3E%3C/svg%3E"", 'https://www.dugdugmotorcycles.com/wp-content/uploads/woocommerce-placeholder-510x510.png']",$17.05,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-
Dug Dug Sump Guard Engine Bash Plate for Meteor 350 Stainless Steel – Matt,"Weight
1.2 kg",-,DUGDUG-1185,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2021/10/dug-dug-royal-enfield-meteor-350-sump-guard-stainless-steel-engine-guard-1-510x680.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2021/10/dug-dug-royal-enfield-meteor-350-sump-guard-stainless-steel-engine-guard-4-510x500.jpg']","₹2,300.00",-,-,-,-,-,-,-,"₹1,600.00",-,-,-,-,-,-,-,-,-,-,-
Dug Dug Meteor 350 Sump Guard Engine Bash Plate Stainless Steel – Matt,"Weight
1.2 kg",-,DUGDUG-1184,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2021/10/dug-dug-royal-enfield-meteor-350-sump-guard-stainless-steel-engine-guard-2-510x576.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2021/10/dug-dug-royal-enfield-meteor-350-sump-guard-stainless-steel-engine-guard-3-510x446.jpg']","₹2,300.00",-,-,-,-,-,-,-,"₹1,600.00",-,-,-,-,-,-,-,-,-,-,-
BULLET Engine Plate for Royal Enfield Classic Standard Electra BS3 BS4 BS6,"Weight
1.0 kg",-,DUGDUG-1045,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2021/07/610yBeezpML._SL1500_-510x601.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2021/07/61E7lFiGMjL._SL1500_-510x504.jpg']",₹999.00,-,-,-,-,-,-,-,₹550.00,-,-,-,-,-,-,-,-,-,-,-
Sump Guard/Bash Plate for Royal Enfield Interceptor 650 and Continental GT 650,"Weight
1.8 kg",-,DUGDUG-807,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2020/09/IMG_20200804_034556-510x383.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2020/09/IMG_20200804_034611-510x452.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2020/09/IMG_20200804_034605-510x430.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2020/09/IMG_20200804_034547-510x383.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2020/09/IMG_20200804_034544-510x400.jpg']","₹2,999.00",-,-,-,-,-,-,-,"₹1,899.00",-,-,-,-,-,-,-,-,-,-,-
Thunderbird BS6 Engine Guard Plate,"Thunderbird BS6 Engine Guard Plate for Royal Enfield thunderbird 350/500 cc. Engine guard is made with premium quality stainless steel, long lasting and anti rust coating gives long life. Protects your engine from dirt and mud and any damage during crash, enhances the protective measure of engine. Also allows for oil change without removing the guard. Standard design with logo of bike on plate gives a great look and proper protection to your engine.




Weight
1.0 kg",-,DUGDUG-768,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2020/07/Thunderbird-BS6-Engine-Plate-510x483.jpg'],₹800.00,-,-,-,-,-,-,-,₹599.00,-,-,-,-,-,-,-,-,-,-,-
"ROYAL Engine Plate for Classic 350/500, Standard, Electra","Weight
1.5 kg",-,DUGDUG-622,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2020/03/Adobe_Post_20200319_2323150.5799583285399864-scaled-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2020/03/Adobe_Post_20200319_2323530.2363347445242755-scaled-510x510.jpg']",₹850.00,-,-,-,-,-,-,-,₹550.00,-,-,-,-,-,-,-,-,-,-,-
CLASSIC Engine Guard Plate for Royal Enfield,"Weight
1.0 kg",-,DUGDUG-178,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2019/09/1108489176-scaled-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2019/09/61tQT2qbmqL._SL1280_-scaled-510x383.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2019/09/61Z7qpa7NvL._SL1500_-scaled-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2019/09/61JRTjIkTIL._SL1500_-scaled-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2019/09/61sqlA-oExL._SL1500_-scaled-510x510.jpg']",₹750.00,-,-,-,-,-,-,-,₹550.00,-,-,-,-,-,-,-,-,-,-,-
BULLET Engine Guard Plate with LED for Royal Enfield – White,"Weight
1.0 kg",-,DUGDUG-179,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2019/09/1122205672-510x680.png'],₹950.00,-,-,-,-,-,-,-,₹750.00,-,-,-,-,-,-,-,-,-,-,-
BULLET Engine Guard Plate with LED for Royal Enfield – Red Blue,"Weight
1.0 kg",-,DUGDUG-180,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2019/09/1122205790-510x680.png'],₹950.00,-,-,-,-,-,-,-,₹750.00,-,-,-,-,-,-,-,-,-,-,-
BULLET Engine Guard Plate with LED for Royal Enfield – Red,"Weight
1.0 kg",-,DUGDUG-181,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2019/09/1122206096-510x680.png'],₹950.00,-,-,-,-,-,-,-,₹750.00,-,-,-,-,-,-,-,-,-,-,-
