Product name,Description,Slug,SKU,Auto Generate SKU,Categories,Status,Is featured?,Brand,Product collections,Labels,Taxes,Images,Price,Product attributes,Import type,Is variation default?,Stock status,With storehouse management,Quantity,Allow checkout when out of stock,Sale price,Start date sale price,End date sale price,Weight,Length,Wide,Height,Cost per item,Barcode,Content,Tags,Vendor
MOXI Waterproof Universal 16 Mode Motorbike Hazard Flasher with On/Off Switch,"Weight
0.25 kg",-,DUGDUG-1619,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2023/07/Moxi-Hazard-Flasher-Indicator-Syster-Simtach-Flashx-for-all-motorcycles-510x309.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2023/07/Universal-On-off-switch-for-all-motorcycles-510x510.jpg']",₹999.00,-,-,-,-,-,-,-,₹550.00,-,-,-,-,-,-,-,-,-,-,-
KTM DUKE 790 FlashX Hazard System Module Flasher Blinker,"FlashX Hazard System
What is the Flashing Hazard System?
Flashing Hazard System is a blinker module which is connected into the motorcycle wiring lighting system. This tool gives the bike’s direction indicator various blinking effects. This FlashX Hazard System available on dugdugmotorcycles.com comes with 60 different blinking formats and any one of them can be selected using OEM indicator switch as no extra switch is required in it to change the patterns. 
This Hazard Module is very easily to install and doesn’t cost a bomb, unlike other bike accessories. Also, it doesn’t need any wiring alteration; hence the stock wiring remains safe. Let’s talk about compatibility of this product with bulbs, this module system is compatible with motorcycles having indicators with LEDS or regular bulbs. it is completely water resistant and shock proof. You can select quick/slow/patrolling flash patterns of your choice.
 
How do Flashing Hazard System makes riding safe?
These lights are nothing but a modified form of hazard lights (which are available in the stock form in some motorcycles). Flasher lights are designed to attract attention out there on the road. These can be deployed at times when the visibility is quite low for example during the night time or foggy conditions. Apart from being useful, you will also agree onto the fact that they make the motorcycle look good, especially when riding with a group and all the bikes are lit-up with flasher lights.
These lights can also be used when a vehicle is pulled over to the side of the road, to make the motorcycle more visible to the on-going traffic.
Also, it is recommended that you use LED direction indicator lights since LED lights are much brighter compared to the traditional halogen lamp lights, also they have a much longer life cycle compared to other traditional lights.
Since flasher lights change the pattern of lights and make the lamps blink much faster than usual, hence these lights are more compatible to be used with LED directional indicators. Also, make sure that you visit a certified mechanic or electric technician for easy and safe installation these lights.
 















Weight
0.35 kg",-,DUGDUG-1037,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2021/06/flash-x-dug-dug-motorcycles-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2021/06/flash-x-dug-dug-motorcycles-1-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2021/06/flash-x-dug-dug-motorcycles-2-510x510.jpg']","₹1,999.00",-,-,-,-,-,-,-,"₹1,250.00",-,-,-,-,-,-,-,-,-,-,-
KTM DUKE/RC 125 FlashX Hazard System Module Flasher Blinker,"FlashX Hazard System
What is the Flashing Hazard System?
Flashing Hazard System is a blinker module which is connected into the motorcycle wiring lighting system. This tool gives the bike’s direction indicator various blinking effects. This FlashX Hazard System available on dugdugmotorcycles.com comes with 60 different blinking formats and any one of them can be selected using OEM indicator switch as no extra switch is required in it to change the patterns. 
This Hazard Module is very easily to install and doesn’t cost a bomb, unlike other bike accessories. Also, it doesn’t need any wiring alteration; hence the stock wiring remains safe. Let’s talk about compatibility of this product with bulbs, this module system is compatible with motorcycles having indicators with LEDS or regular bulbs. it is completely water resistant and shock proof. You can select quick/slow/patrolling flash patterns of your choice.
 
How do Flashing Hazard System makes riding safe?
These lights are nothing but a modified form of hazard lights (which are available in the stock form in some motorcycles). Flasher lights are designed to attract attention out there on the road. These can be deployed at times when the visibility is quite low for example during the night time or foggy conditions. Apart from being useful, you will also agree onto the fact that they make the motorcycle look good, especially when riding with a group and all the bikes are lit-up with flasher lights.
These lights can also be used when a vehicle is pulled over to the side of the road, to make the motorcycle more visible to the on-going traffic.
Also, it is recommended that you use LED direction indicator lights since LED lights are much brighter compared to the traditional halogen lamp lights, also they have a much longer life cycle compared to other traditional lights.
Since flasher lights change the pattern of lights and make the lamps blink much faster than usual, hence these lights are more compatible to be used with LED directional indicators. Also, make sure that you visit a certified mechanic or electric technician for easy and safe installation these lights.
 















Weight
0.35 kg",-,DUGDUG-1036,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2021/06/flash-x-dug-dug-motorcycles-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2021/06/flash-x-dug-dug-motorcycles-1-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2021/06/flash-x-dug-dug-motorcycles-2-510x510.jpg']",$61.97,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-
TVS NTorq FlashX Hazard System Module Flasher Blinker,"FlashX Hazard System
What is the Flashing Hazard System?
Flashing Hazard System is a blinker module which is connected into the motorcycle wiring lighting system. This tool gives the bike’s direction indicator various blinking effects. This FlashX Hazard System available on dugdugmotorcycles.com comes with 60 different blinking formats and any one of them can be selected using OEM indicator switch as no extra switch is required in it to change the patterns. 
This Hazard Module is very easily to install and doesn’t cost a bomb, unlike other bike accessories. Also, it doesn’t need any wiring alteration; hence the stock wiring remains safe. Let’s talk about compatibility of this product with bulbs, this module system is compatible with motorcycles having indicators with LEDS or regular bulbs. it is completely water resistant and shock proof. You can select quick/slow/patrolling flash patterns of your choice.
 
How do Flashing Hazard System makes riding safe?
These lights are nothing but a modified form of hazard lights (which are available in the stock form in some motorcycles). Flasher lights are designed to attract attention out there on the road. These can be deployed at times when the visibility is quite low for example during the night time or foggy conditions. Apart from being useful, you will also agree onto the fact that they make the motorcycle look good, especially when riding with a group and all the bikes are lit-up with flasher lights.
These lights can also be used when a vehicle is pulled over to the side of the road, to make the motorcycle more visible to the on-going traffic.
Also, it is recommended that you use LED direction indicator lights since LED lights are much brighter compared to the traditional halogen lamp lights, also they have a much longer life cycle compared to other traditional lights.
Since flasher lights change the pattern of lights and make the lamps blink much faster than usual, hence these lights are more compatible to be used with LED directional indicators. Also, make sure that you visit a certified mechanic or electric technician for easy and safe installation these lights.
 















Weight
0.35 kg",-,DUGDUG-1035,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2021/06/flash-x-dug-dug-motorcycles-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2021/06/flash-x-dug-dug-motorcycles-1-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2021/06/flash-x-dug-dug-motorcycles-2-510x510.jpg']","₹1,999.00",-,-,-,-,-,-,-,"₹1,250.00",-,-,-,-,-,-,-,-,-,-,-
Yamaha MT 15 FlashX Hazard System Module Flasher Blinker,"FlashX Hazard System
What is the Flashing Hazard System?
Flashing Hazard System is a blinker module which is connected into the motorcycle wiring lighting system. This tool gives the bike’s direction indicator various blinking effects. This FlashX Hazard System available on dugdugmotorcycles.com comes with 60 different blinking formats and any one of them can be selected using OEM indicator switch as no extra switch is required in it to change the patterns. 
This Hazard Module is very easily to install and doesn’t cost a bomb, unlike other bike accessories. Also, it doesn’t need any wiring alteration; hence the stock wiring remains safe. Let’s talk about compatibility of this product with bulbs, this module system is compatible with motorcycles having indicators with LEDS or regular bulbs. it is completely water resistant and shock proof. You can select quick/slow/patrolling flash patterns of your choice.
 
How do Flashing Hazard System makes riding safe?
These lights are nothing but a modified form of hazard lights (which are available in the stock form in some motorcycles). Flasher lights are designed to attract attention out there on the road. These can be deployed at times when the visibility is quite low for example during the night time or foggy conditions. Apart from being useful, you will also agree onto the fact that they make the motorcycle look good, especially when riding with a group and all the bikes are lit-up with flasher lights.
These lights can also be used when a vehicle is pulled over to the side of the road, to make the motorcycle more visible to the on-going traffic.
Also, it is recommended that you use LED direction indicator lights since LED lights are much brighter compared to the traditional halogen lamp lights, also they have a much longer life cycle compared to other traditional lights.
Since flasher lights change the pattern of lights and make the lamps blink much faster than usual, hence these lights are more compatible to be used with LED directional indicators. Also, make sure that you visit a certified mechanic or electric technician for easy and safe installation these lights.
 















Weight
0.35 kg",-,DUGDUG-1034,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2021/06/flash-x-dug-dug-motorcycles-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2021/06/flash-x-dug-dug-motorcycles-1-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2021/06/flash-x-dug-dug-motorcycles-2-510x510.jpg']",$61.97,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-
TVS Jupiter FlashX Hazard System Module Flasher Blinker,"FlashX Hazard System
What is the Flashing Hazard System?
Flashing Hazard System is a blinker module which is connected into the motorcycle wiring lighting system. This tool gives the bike’s direction indicator various blinking effects. This FlashX Hazard System available on dugdugmotorcycles.com comes with 60 different blinking formats and any one of them can be selected using OEM indicator switch as no extra switch is required in it to change the patterns. 
This Hazard Module is very easily to install and doesn’t cost a bomb, unlike other bike accessories. Also, it doesn’t need any wiring alteration; hence the stock wiring remains safe. Let’s talk about compatibility of this product with bulbs, this module system is compatible with motorcycles having indicators with LEDS or regular bulbs. it is completely water resistant and shock proof. You can select quick/slow/patrolling flash patterns of your choice.
 
How do Flashing Hazard System makes riding safe?
These lights are nothing but a modified form of hazard lights (which are available in the stock form in some motorcycles). Flasher lights are designed to attract attention out there on the road. These can be deployed at times when the visibility is quite low for example during the night time or foggy conditions. Apart from being useful, you will also agree onto the fact that they make the motorcycle look good, especially when riding with a group and all the bikes are lit-up with flasher lights.
These lights can also be used when a vehicle is pulled over to the side of the road, to make the motorcycle more visible to the on-going traffic.
Also, it is recommended that you use LED direction indicator lights since LED lights are much brighter compared to the traditional halogen lamp lights, also they have a much longer life cycle compared to other traditional lights.
Since flasher lights change the pattern of lights and make the lamps blink much faster than usual, hence these lights are more compatible to be used with LED directional indicators. Also, make sure that you visit a certified mechanic or electric technician for easy and safe installation these lights.
 















Weight
0.35 kg",-,DUGDUG-1033,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2021/06/flash-x-dug-dug-motorcycles-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2021/06/flash-x-dug-dug-motorcycles-1-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2021/06/flash-x-dug-dug-motorcycles-2-510x510.jpg']","₹1,999.00",-,-,-,-,-,-,-,"₹1,250.00",-,-,-,-,-,-,-,-,-,-,-
Royal Enfield Meteor 350 FlashX Hazard System Module Flasher Blinker,"FlashX Hazard System
What is the Flashing Hazard System?
Flashing Hazard System is a blinker module which is connected into the motorcycle wiring lighting system. This tool gives the bike’s direction indicator various blinking effects. This FlashX Hazard System available on dugdugmotorcycles.com comes with 60 different blinking formats and any one of them can be selected using OEM indicator switch as no extra switch is required in it to change the patterns. 
This Hazard Module is very easily to install and doesn’t cost a bomb, unlike other bike accessories. Also, it doesn’t need any wiring alteration; hence the stock wiring remains safe. Let’s talk about compatibility of this product with bulbs, this module system is compatible with motorcycles having indicators with LEDS or regular bulbs. it is completely water resistant and shock proof. You can select quick/slow/patrolling flash patterns of your choice.
 
How do Flashing Hazard System makes riding safe?
These lights are nothing but a modified form of hazard lights (which are available in the stock form in some motorcycles). Flasher lights are designed to attract attention out there on the road. These can be deployed at times when the visibility is quite low for example during the night time or foggy conditions. Apart from being useful, you will also agree onto the fact that they make the motorcycle look good, especially when riding with a group and all the bikes are lit-up with flasher lights.
These lights can also be used when a vehicle is pulled over to the side of the road, to make the motorcycle more visible to the on-going traffic.
Also, it is recommended that you use LED direction indicator lights since LED lights are much brighter compared to the traditional halogen lamp lights, also they have a much longer life cycle compared to other traditional lights.
Since flasher lights change the pattern of lights and make the lamps blink much faster than usual, hence these lights are more compatible to be used with LED directional indicators. Also, make sure that you visit a certified mechanic or electric technician for easy and safe installation these lights.
 















Weight
0.35 kg",-,DUGDUG-1032,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2021/06/flash-x-dug-dug-motorcycles-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2021/06/flash-x-dug-dug-motorcycles-1-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2021/06/flash-x-dug-dug-motorcycles-2-510x510.jpg']",$61.97,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-
Honda Activa FlashX Hazard System Module Flasher Blinker,"FlashX Hazard System
What is the Flashing Hazard System?
Flashing Hazard System is a blinker module which is connected into the motorcycle wiring lighting system. This tool gives the bike’s direction indicator various blinking effects. This FlashX Hazard System available on dugdugmotorcycles.com comes with 60 different blinking formats and any one of them can be selected using OEM indicator switch as no extra switch is required in it to change the patterns. 
This Hazard Module is very easily to install and doesn’t cost a bomb, unlike other bike accessories. Also, it doesn’t need any wiring alteration; hence the stock wiring remains safe. Let’s talk about compatibility of this product with bulbs, this module system is compatible with motorcycles having indicators with LEDS or regular bulbs. it is completely water resistant and shock proof. You can select quick/slow/patrolling flash patterns of your choice.
 
How do Flashing Hazard System makes riding safe?
These lights are nothing but a modified form of hazard lights (which are available in the stock form in some motorcycles). Flasher lights are designed to attract attention out there on the road. These can be deployed at times when the visibility is quite low for example during the night time or foggy conditions. Apart from being useful, you will also agree onto the fact that they make the motorcycle look good, especially when riding with a group and all the bikes are lit-up with flasher lights.
These lights can also be used when a vehicle is pulled over to the side of the road, to make the motorcycle more visible to the on-going traffic.
Also, it is recommended that you use LED direction indicator lights since LED lights are much brighter compared to the traditional halogen lamp lights, also they have a much longer life cycle compared to other traditional lights.
Since flasher lights change the pattern of lights and make the lamps blink much faster than usual, hence these lights are more compatible to be used with LED directional indicators. Also, make sure that you visit a certified mechanic or electric technician for easy and safe installation these lights.
 















Weight
0.35 kg",-,DUGDUG-1031,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2021/06/flash-x-dug-dug-motorcycles-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2021/06/flash-x-dug-dug-motorcycles-1-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2021/06/flash-x-dug-dug-motorcycles-2-510x510.jpg']",$61.97,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-
Suzuki Burgman FlashX Hazard System Module Flasher Blinker,"FlashX Hazard System
What is the Flashing Hazard System?
Flashing Hazard System is a blinker module which is connected into the motorcycle wiring lighting system. This tool gives the bike’s direction indicator various blinking effects. This FlashX Hazard System available on dugdugmotorcycles.com comes with 60 different blinking formats and any one of them can be selected using OEM indicator switch as no extra switch is required in it to change the patterns. 
This Hazard Module is very easily to install and doesn’t cost a bomb, unlike other bike accessories. Also, it doesn’t need any wiring alteration; hence the stock wiring remains safe. Let’s talk about compatibility of this product with bulbs, this module system is compatible with motorcycles having indicators with LEDS or regular bulbs. it is completely water resistant and shock proof. You can select quick/slow/patrolling flash patterns of your choice.
 
How do Flashing Hazard System makes riding safe?
These lights are nothing but a modified form of hazard lights (which are available in the stock form in some motorcycles). Flasher lights are designed to attract attention out there on the road. These can be deployed at times when the visibility is quite low for example during the night time or foggy conditions. Apart from being useful, you will also agree onto the fact that they make the motorcycle look good, especially when riding with a group and all the bikes are lit-up with flasher lights.
These lights can also be used when a vehicle is pulled over to the side of the road, to make the motorcycle more visible to the on-going traffic.
Also, it is recommended that you use LED direction indicator lights since LED lights are much brighter compared to the traditional halogen lamp lights, also they have a much longer life cycle compared to other traditional lights.
Since flasher lights change the pattern of lights and make the lamps blink much faster than usual, hence these lights are more compatible to be used with LED directional indicators. Also, make sure that you visit a certified mechanic or electric technician for easy and safe installation these lights.
 















Weight
0.35 kg",-,DUGDUG-1030,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2021/06/flash-x-dug-dug-motorcycles-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2021/06/flash-x-dug-dug-motorcycles-1-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2021/06/flash-x-dug-dug-motorcycles-2-510x510.jpg']","₹1,999.00",-,-,-,-,-,-,-,"₹1,250.00",-,-,-,-,-,-,-,-,-,-,-
Mahindra Mojo 400 FlashX Hazard System Module Flasher Blinker,"FlashX Hazard System
What is the Flashing Hazard System?
Flashing Hazard System is a blinker module which is connected into the motorcycle wiring lighting system. This tool gives the bike’s direction indicator various blinking effects. This FlashX Hazard System available on dugdugmotorcycles.com comes with 60 different blinking formats and any one of them can be selected using OEM indicator switch as no extra switch is required in it to change the patterns. 
This Hazard Module is very easily to install and doesn’t cost a bomb, unlike other bike accessories. Also, it doesn’t need any wiring alteration; hence the stock wiring remains safe. Let’s talk about compatibility of this product with bulbs, this module system is compatible with motorcycles having indicators with LEDS or regular bulbs. it is completely water resistant and shock proof. You can select quick/slow/patrolling flash patterns of your choice.
 
How do Flashing Hazard System makes riding safe?
These lights are nothing but a modified form of hazard lights (which are available in the stock form in some motorcycles). Flasher lights are designed to attract attention out there on the road. These can be deployed at times when the visibility is quite low for example during the night time or foggy conditions. Apart from being useful, you will also agree onto the fact that they make the motorcycle look good, especially when riding with a group and all the bikes are lit-up with flasher lights.
These lights can also be used when a vehicle is pulled over to the side of the road, to make the motorcycle more visible to the on-going traffic.
Also, it is recommended that you use LED direction indicator lights since LED lights are much brighter compared to the traditional halogen lamp lights, also they have a much longer life cycle compared to other traditional lights.
Since flasher lights change the pattern of lights and make the lamps blink much faster than usual, hence these lights are more compatible to be used with LED directional indicators. Also, make sure that you visit a certified mechanic or electric technician for easy and safe installation these lights.
 















Weight
0.35 kg",-,DUGDUG-1028,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2021/06/flash-x-dug-dug-motorcycles-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2021/06/flash-x-dug-dug-motorcycles-1-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2021/06/flash-x-dug-dug-motorcycles-2-510x510.jpg']","₹1,999.00",-,-,-,-,-,-,-,"₹1,250.00",-,-,-,-,-,-,-,-,-,-,-
