Product name,Description,Slug,SKU,Auto Generate SKU,Categories,Status,Is featured?,Brand,Product collections,Labels,Taxes,Images,Price,Product attributes,Import type,Is variation default?,Stock status,With storehouse management,Quantity,Allow checkout when out of stock,Sale price,Start date sale price,End date sale price,Weight,Length,Wide,Height,Cost per item,Barcode,Content,Tags,Vendor
Dug Dug X-Grill for Royal Enfield Super Meteor 650,"Weight
0.8 kg",-,DUGDUG-1631,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2023/08/royal-enfield-super-meteor-650-accessories-3-e1691869283782-510x907.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2023/08/royal-enfield-super-meteor-650-accessories-4-510x287.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2023/08/royal-enfield-super-meteor-650-accessories-2-e1691869217968-510x907.jpg']","₹1,999.00",-,-,-,-,-,-,-,₹950.00,-,-,-,-,-,-,-,-,-,-,-
CNC Headlight Grill for Royal Enfield Super Meteor 650 Type 4,"Weight
1.0 kg",-,DUGDUG-1581,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2023/05/headlight-grill-for-super-meteor-650-dug-dug-motorcycles-4.jpg'],"₹1,999.00",-,-,-,-,-,-,-,₹999.00,-,-,-,-,-,-,-,-,-,-,-
CNC Headlight Grill for Royal Enfield Super Meteor 650 Type 3,"Weight
1.0 kg",-,DUGDUG-1580,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2023/05/headlight-grill-for-super-meteor-650-dug-dug-motorcycles-3-510x367.jpg'],"₹1,999.00",-,-,-,-,-,-,-,₹999.00,-,-,-,-,-,-,-,-,-,-,-
CNC Headlight Grill for Royal Enfield Super Meteor 650 Type 1,"Weight
1.0 kg",-,DUGDUG-1578,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2023/05/headlight-grill-for-super-meteor-650-dug-dug-motorcycles-1-510x367.jpg'],"₹1,999.00",-,-,-,-,-,-,-,₹999.00,-,-,-,-,-,-,-,-,-,-,-
Headlight Grill for Royal Enfield Hunter 350 Type 2,"Weight
0.6 kg",-,DUGDUG-1531,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/12/headlight-grill-for-royal-enfield-hunter-350-type-1-510x383.jpg'],"₹1,999.00",-,-,-,-,-,-,-,₹850.00,-,-,-,-,-,-,-,-,-,-,-
Headlight Grill for Royal Enfield Hunter 350 Type 1,"Weight
0.6 kg",-,DUGDUG-1530,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/12/headlight-grill-for-royal-enfield-hunter-350-type-2-510x680.jpg'],"₹1,999.00",-,-,-,-,-,-,-,₹850.00,-,-,-,-,-,-,-,-,-,-,-
R Logo Black Grill Set for Royal Enfield Hunter 350,"Weight
0.8 kg",-,DUGDUG-1509,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/11/dug-dug-royal-enfield-hunter-350-black-grill-set-510x287.jpg'],"₹1,299.00",-,-,-,-,-,-,-,₹750.00,-,-,-,-,-,-,-,-,-,-,-
Aluminum Grill Black Set of 8 pc for Royal Enfield Hunter 350,"Weight
1.0 kg",-,DUGDUG-1489,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/10/IMG-20221001-WA0066-510x501.jpg'],₹999.00,-,-,-,-,-,-,-,₹650.00,-,-,-,-,-,-,-,-,-,-,-
Royal Enfield Hunter 350 Aluminium CNC Grill Set of 8pc,"Weight
1.0 kg",-,DUGDUG-1470,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/09/IMG-20220918-WA0005-510x1072.jpg'],₹999.00,-,-,-,-,-,-,-,₹699.00,-,-,-,-,-,-,-,-,-,-,-
Stainless Steel Headlight Grill for Dominar 250 400,"Weight
1.0 kg",-,DUGDUG-1404,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/04/2fff8c0d6f114af48fef832ed475d289-510x589.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/04/6fcd135e3d014adb885487b23a81b3c0-510x411.jpg']","₹2,999.00",-,-,-,-,-,-,-,"₹1,450.00",-,-,-,-,-,-,-,-,-,-,-
Headlight Grill for KTM RC All Models,"Weight
1.0 kg",-,DUGDUG-1403,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/04/2b245ac1ad184369bc3fc5df9a05327b-510x373.jpg'],"₹2,999.00",-,-,-,-,-,-,-,"₹1,450.00",-,-,-,-,-,-,-,-,-,-,-
Dug Dug Black Headlight Grill for Royal Enfield Classic Reborn,"Weight
0.5 kg",-,DUGDUG-1357,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/03/dug-dug-royal-enfield-classic-reborn-headlight-grill-black-2-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/03/dug-dug-royal-enfield-classic-reborn-headlight-grill-black-1-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/03/dug-dug-royal-enfield-classic-reborn-headlight-grill-black-4-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/03/dug-dug-royal-enfield-classic-reborn-headlight-grill-black-3-510x374.jpg']",₹999.00,-,-,-,-,-,-,-,₹499.00,-,-,-,-,-,-,-,-,-,-,-
Dug Dug Classic Reborn Aluminum CNC Grill Set,"Weight
0.85 kg",-,DUGDUG-1244,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/02/dug-dug-royal-enfield-classic-reborn-aluminius-grill-set-of-8-pc-2-1-510x383.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/02/dug-dug-royal-enfield-classic-reborn-aluminius-grill-set-of-8-pc-3-1-510x420.jpg']","₹1,299.00",-,-,-,-,-,-,-,₹749.00,-,-,-,-,-,-,-,-,-,-,-
Dug Dug Classic Reborn Stainless Steel Headlight Grill – Black,"Weight
0.5 kg",-,DUGDUG-1232,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/02/dug-dug-royal-enfield-classic-reborn-headlight-grill-black-1-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/02/dug-dug-royal-enfield-classic-reborn-headlight-grill-black-2-510x680.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/02/dug-dug-royal-enfield-classic-reborn-headlight-grill-black-4-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/02/dug-dug-royal-enfield-classic-reborn-headlight-grill-black-3-510x506.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/02/dug-dug-royal-enfield-classic-reborn-headlight-grill-black-5-510x680.jpg']","₹1,999.00",-,-,-,-,-,-,-,"₹1,200.00",-,-,-,-,-,-,-,-,-,-,-
Dug Dug Classic Reborn Stainless Steel Headlight Grill,"Weight
0.5 kg",-,DUGDUG-1231,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/02/dug-dug-royal-enfield-classic-reborn-headlight-grill-stainless-steel-4-510x512.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/02/dug-dug-royal-enfield-classic-reborn-headlight-grill-stainless-steel-1-510x491.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/02/dug-dug-royal-enfield-classic-reborn-headlight-grill-stainless-steel-3-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/02/dug-dug-royal-enfield-classic-reborn-headlight-grill-stainless-steel-2-510x659.jpg']","₹1,999.00",-,-,-,-,-,-,-,"₹1,200.00",-,-,-,-,-,-,-,-,-,-,-
Dug Dug Meteor 350 Stainless Steel Headlight Grill – Black,"Weight
0.5 kg",-,DUGDUG-1230,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/02/dug-dug-royal-enfield-meteor-350-headlight-grill-black-5-510x511.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/02/dug-dug-royal-enfield-meteor-350-headlight-grill-black-1-510x511.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/02/dug-dug-royal-enfield-meteor-350-headlight-grill-black-2-510x511.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/02/dug-dug-royal-enfield-meteor-350-headlight-grill-black-3-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/02/dug-dug-royal-enfield-meteor-350-headlight-grill-black-4-510x510.jpg']",$61.97,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-
Dug Dug Meteor 350 Stainless Steel Headlight Grill,"Weight
0.5 kg",-,DUGDUG-1229,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/02/dug-dug-royal-enfield-meteor-350-headlight-grill-stainless-steel-4-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/02/dug-dug-royal-enfield-meteor-350-headlight-grill-stainless-steel-1-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/02/dug-dug-royal-enfield-meteor-350-headlight-grill-stainless-steel-2-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/02/dug-dug-royal-enfield-meteor-350-headlight-grill-stainless-steel-3-510x509.jpg']","₹1,999.00",-,-,-,-,-,-,-,"₹1,200.00",-,-,-,-,-,-,-,-,-,-,-
