Product name,Description,Slug,SKU,Auto Generate SKU,Categories,Status,Is featured?,Brand,Product collections,Labels,Taxes,Images,Price,Product attributes,Import type,Is variation default?,Stock status,With storehouse management,Quantity,Allow checkout when out of stock,Sale price,Start date sale price,End date sale price,Weight,Length,Wide,Height,Cost per item,Barcode,Content,Tags,Vendor
Custom Name Headlight for Royal Enfield,"An Additional Headlight Ring worth Rs. 499 will be added to the package for Direct Fitment
 
Meteor 350 Headlight Ring
Hunter 350 Headlight Ring
Reborn 350 Headlight Ring




Weight
1.3 kg",-,DUGDUG-1575,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2023/05/custom-name-headlight-for-royal-enfield-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2023/05/dug-dug-custom-led-name-headlight-royal-enfield-classic-3_001-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2023/05/dug-dug-custom-led-name-headlight-royal-enfield-classic-7_001-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2023/05/dug-dug-custom-led-name-headlight-royal-enfield-classic-6_001-510x544.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2023/05/dug-dug-custom-led-name-headlight-royal-enfield-classic-4_001-510x578.jpg']","₹2,150.00",-,-,-,-,-,-,-,"₹2,150.00",-,-,-,-,-,-,-,-,-,-,-
Mercedes Star Design 7 Inch Headlight for Royal Enfield Old Models,"Weight
1.0 kg",-,DUGDUG-1527,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/12/mercedes-star-design-headlight-for-royal-enfield-classic-standard-electra-2-510x466.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/12/mercedes-star-design-headlight-for-royal-enfield-classic-standard-electra-1-510x907.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/12/mercedes-star-design-headlight-for-royal-enfield-classic-standard-electra-3-510x907.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2023/10/mercedes-type-star-design-headlight-for-royal-enfield-3-510x510.webp', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2023/10/mercedes-type-star-design-headlight-for-royal-enfield-11-510x510.webp']","₹3,999.00",-,-,-,-,-,-,-,"₹1,950.00",-,-,-,-,-,-,-,-,-,-,-
Hunter 350 Headlight Outer Ring for LED 7 inch Headlight Fitting,"Weight
0.5 kg",-,DUGDUG-1488,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/10/IMG-20220910-WA0027-510x681.jpg'],₹999.00,-,-,-,-,-,-,-,₹450.00,-,-,-,-,-,-,-,-,-,-,-
Dual Twin Headlights for Custom Modified Bobber Chopper Motorcycles – Grill Type Yellow,"Weight
2.5 kg",-,DUGDUG-1390,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/03/Dual-Twin-Headlights-for-Custom-Modified-Bobber-Chopper-Motorcycles-Grill-Type-2-510x383.jpg'],"₹5,999.00",-,-,-,-,-,-,-,"₹2,800.00",-,-,-,-,-,-,-,-,-,-,-
Dual Twins Motorcycle Dual LED Headlight Double Headlamp Universal,"Specifications:
Dominator Dual Streetfighter Headlights With Metal Mesh Grill Headlight Protector Guard Cover.
Twins feature two 3.5″ diameter lights with side mounts ( H4 12V 60watt bulbs).
This is for the headlights only.
These are the perfect edition or upgrade to any streetfighter or naked bike.
Features:
Full metal buckets
Full Glass Lens
8.5″ Total mounting width dimension
8mm x 1.25 female mounting holes
3.5″ diameter side mount unit with
Two H4 (Halogen) 12V 60 watt bulbs,
Lights wired in parallel to allow both lights to work as one
Shell Color:black
Lens color:yellow+white
Bracket size:
A(28mm-36mm),B(35mm-43mm)
Wiring Connection:
Black:Ground
White:Low Beam
Yellow:High Beam
Brown:Fog Light
Fitment:
Universal fit for all Dual sport motorcycles, dirt bikes; Street fighter, naked motorcycles.
Package Include:
1 X Twin headlight (As Picture Show)




Weight
1.5 kg",-,DUGDUG-1223,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/01/Dual-Twins-Motorcycle-Dual-LED-Headlight-Double-Headlamp-Universal-7-510x453.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/01/Dual-Twins-Motorcycle-Dual-LED-Headlight-Double-Headlamp-Universal-2-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/01/Dual-Twins-Motorcycle-Dual-LED-Headlight-Double-Headlamp-Universal-1-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/01/Dual-Twins-Motorcycle-Dual-LED-Headlight-Double-Headlamp-Universal-5-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/01/Dual-Twins-Motorcycle-Dual-LED-Headlight-Double-Headlamp-Universal-3-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/01/Dual-Twins-Motorcycle-Dual-LED-Headlight-Double-Headlamp-Universal-6-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/01/Dual-Twins-Motorcycle-Dual-LED-Headlight-Double-Headlamp-Universal-8-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/01/Dual-Twins-Motorcycle-Dual-LED-Headlight-Double-Headlamp-Universal-4-510x462.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/01/Dual-Twins-Motorcycle-Dual-LED-Headlight-Double-Headlamp-Universal-9-510x510.jpg']","₹3,999.00",-,-,-,-,-,-,-,"₹2,800.00",-,-,-,-,-,-,-,-,-,-,-
Universal Motorcycle Modified Front led Headlight Head Lamp LED Light Motorbike Cafe Racer,"Description:
Condition: 100% New
Item Type: LED Headlight
Housing Material: Full metal
Housing Color: Black
Light color: White / Yellow (optional)
Operating voltage: 12V
Weight: about 976g;
Size: as shown in the images;
Fitment:
Universal design, suitable for most motorcycles.Such as:
For Harley Davidson;
For Cafe Racer;
For Ducati;
For Honda;
For Suzuki;
For Yamaha;
For Kawasaki, etc .;
Feature:
New 6.8-inch (17.3cm) metal LED retro headlights
White aperture, yellow aperture optional
Full metal casing
High-brightness LED lighting with far and near light
Come with very sharp light pattern,make the light focus and light up quite long distance
Easy to install, no install instruction.
Package included:
1 x LED Headlight
Note:
1. Please allow 0.5-1cm difference due to manual measurement.
2. Due to light and screen difference, the item’s color may be slightly different from.




Weight
1.5 kg",-,DUGDUG-1222,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/01/Dug-Dug-Universal-Motorcycle-Modified-Front-led-Headlight-Head-Lamp-LED-Light-Motorbike-Cafe-Racer-1-8-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/01/Dug-Dug-Universal-Motorcycle-Modified-Front-led-Headlight-Head-Lamp-LED-Light-Motorbike-Cafe-Racer-1-1-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/01/Dug-Dug-Universal-Motorcycle-Modified-Front-led-Headlight-Head-Lamp-LED-Light-Motorbike-Cafe-Racer-1-9-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/01/Dug-Dug-Universal-Motorcycle-Modified-Front-led-Headlight-Head-Lamp-LED-Light-Motorbike-Cafe-Racer-1-3-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/01/Dug-Dug-Universal-Motorcycle-Modified-Front-led-Headlight-Head-Lamp-LED-Light-Motorbike-Cafe-Racer-1-6-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/01/Dug-Dug-Universal-Motorcycle-Modified-Front-led-Headlight-Head-Lamp-LED-Light-Motorbike-Cafe-Racer-1-2-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/01/Dug-Dug-Universal-Motorcycle-Modified-Front-led-Headlight-Head-Lamp-LED-Light-Motorbike-Cafe-Racer-1-4-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/01/Dug-Dug-Universal-Motorcycle-Modified-Front-led-Headlight-Head-Lamp-LED-Light-Motorbike-Cafe-Racer-1-7-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/01/Dug-Dug-Universal-Motorcycle-Modified-Front-led-Headlight-Head-Lamp-LED-Light-Motorbike-Cafe-Racer-1-5-510x510.jpg']","₹2,999.00",-,-,-,-,-,-,-,"₹1,999.00",-,-,-,-,-,-,-,-,-,-,-
Dug Dug Bobber Chopper Headlight with Grill for Modification – Yellow Glass,"Product Description
Description:
Condition: 100% New
Item Type: Motorcycle Headlight
Material: Metal
Shell color: Black
Lens Color: Yellow/Clear (optional)
Operation: High/ Low Beam
Voltage: 12V
Power: 35W
Weight: 735g
Size: as shown in the images;
Fitment:
Universal design, suitable for most motorcycles.Such as:
For Harley Davidson;
For Cafe Racer;
For Ducati;
For Honda;
For Suzuki;
For Yamaha;
For Kawasaki, etc .;
Please verify that this part fits your vehicle before you purchase
Feature:
6.5″ Yellow or clear Retro Motorcycle Headlight
Retro design, super bright, giving your motorcycle an extra glow
Made of high quality material, durable and reliable to use
Easy to install, directly replaces the original one
Suitable for Motorcycles/Bikes/Old School/Cruiser/GN125/Choppers/Bobber/Cafe Racer/Custom
Package included:
1 Pcs headlight
Note:
1. Please allow 0.5-1cm difference due to manual measurement.
2. Due to light and screen difference, the item’s color may be slightly different from.




Weight
1.3 kg",-,DUGDUG-1220,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/01/Dug-Dug-7-Inch-Bobber-Chopper-Headlight-with-Grill-for-Modification-Yellow-Glass-1-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/01/Dug-Dug-7-Inch-Bobber-Chopper-Headlight-with-Grill-for-Modification-Yellow-Glass-2-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/01/Dug-Dug-7-Inch-Bobber-Chopper-Headlight-with-Grill-for-Modification-Yellow-Glass-3-510x510.jpg']","₹2,999.00",-,-,-,-,-,-,-,"₹1,800.00",-,-,-,-,-,-,-,-,-,-,-
Dug Dug Bobber Chopper Headlight with Grill for Modification – White Glass,"Product Description
Description:
Condition: 100% New
Item Type: Motorcycle Headlight
Material: Metal
Shell color: Black
Lens Color: Yellow/Clear (optional)
Operation: High/ Low Beam
Voltage: 12V
Power: 35W
Weight: 735g
Size: as shown in the images;
Fitment:
Universal design, suitable for most motorcycles.Such as:
For Harley Davidson;
For Cafe Racer;
For Ducati;
For Honda;
For Suzuki;
For Yamaha;
For Kawasaki, etc .;
Please verify that this part fits your vehicle before you purchase
Feature:
6.5″ Yellow or clear Retro Motorcycle Headlight
Retro design, super bright, giving your motorcycle an extra glow
Made of high quality material, durable and reliable to use
Easy to install, derictly replaces the original one
Suitable for Motorcycles/Bikes/Old School/Cruiser/GN125/Choppers/Bobber/Cafe Racer/Custom
Package included:
1 Pcs headlight
Note:
1. Please allow 0.5-1cm difference due to manual measurement.
2. Due to light and screen difference, the item’s color may be slightly different from.




Weight
1.2 kg",-,DUGDUG-1219,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/01/Dug-Dug-7-Inch-Bobber-Chopper-Headlight-with-Grill-for-Modification-White-Glass-2-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/01/Dug-Dug-7-Inch-Bobber-Chopper-Headlight-with-Grill-for-Modification-White-Glass-5-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/01/Dug-Dug-7-Inch-Bobber-Chopper-Headlight-with-Grill-for-Modification-White-Glass-4-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/01/Dug-Dug-7-Inch-Bobber-Chopper-Headlight-with-Grill-for-Modification-White-Glass-3-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/01/Dug-Dug-7-Inch-Bobber-Chopper-Headlight-with-Grill-for-Modification-White-Glass-1-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/01/Dug-Dug-7-Inch-Bobber-Chopper-Headlight-with-Grill-for-Modification-White-Glass-6-510x510.jpg']","₹2,999.00",-,-,-,-,-,-,-,"₹1,800.00",-,-,-,-,-,-,-,-,-,-,-
New Star 7 Inch Full Ring 90w Round White LED Headlight with White Amber DRL for Royal Enfield All Models,"Weight
1.8 kg",-,DUGDUG-1214,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2021/12/dug-dug-7-Inch-Full-Ring-90w-Round-White-LED-Headlight-with-White-Amber-DRL-for-Royal-Enfield-All-Models-1-510x474.jpg'],"₹3,999.00",-,-,-,-,-,-,-,"₹2,500.00",-,-,-,-,-,-,-,-,-,-,-
New BOSS 7 Inch Full Ring 90w Round White LED Headlight with White Amber DRL for Royal Enfield All Models,"Weight
1.8 kg",-,DUGDUG-1213,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2021/12/dug-dug-7-Inch-Full-Ring-90w-Round-White-LED-Headlight-with-White-Amber-DRL-for-Royal-Enfield-All-Models-2-510x481.jpg'],"₹3,999.00",-,-,-,-,-,-,-,"₹2,500.00",-,-,-,-,-,-,-,-,-,-,-
