Product name,Description,Slug,SKU,Auto Generate SKU,Categories,Status,Is featured?,Brand,Product collections,Labels,Taxes,Images,Price,Product attributes,Import type,Is variation default?,Stock status,With storehouse management,Quantity,Allow checkout when out of stock,Sale price,Start date sale price,End date sale price,Weight,Length,Wide,Height,Cost per item,Barcode,Content,Tags,Vendor
Dug Dug Stainless Steel Heat Shield for Hunter 350 – Black,"Weight
1.0 kg",-,DUGDUG-1523,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/12/dug-dug-Hunter-350-Stainless-Steel-Heat-Shield-Black-1-510x907.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/12/dug-dug-Hunter-350-Stainless-Steel-Heat-Shield-Black-2-510x907.jpg']","₹1,999.00",-,-,-,-,-,-,-,₹950.00,-,-,-,-,-,-,-,-,-,-,-
Dug Dug Heat Shield Protection Guard for Royal Enfield Himalayan – Black,"Weight
1.0 kg",-,DUGDUG-1406,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/04/dug-dug-heat-shield-for-royal-enfield-himlayan-scram-411cc-2-510x553.jpg'],"₹1,999.00",-,-,-,-,-,-,-,"₹1,250.00",-,-,-,-,-,-,-,-,-,-,-
Dug Dug Heat Shield Protection Guard for Royal Enfield Himalayan,"Weight
1.0 kg",-,DUGDUG-1405,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/04/dug-dug-heat-shield-for-royal-enfield-himlayan-scram-411cc-510x568.jpg'],"₹1,999.00",-,-,-,-,-,-,-,"₹1,250.00",-,-,-,-,-,-,-,-,-,-,-
Dug Dug Heat Shield Protection Guard for Royal Enfield Classic 350 BS6,"Weight
1.0 kg",-,DUGDUG-1277,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/02/dug-dug-royal-enfield-classic-reborn-meteor-bs6-heat-plate-silencer-plate-protection-4-510x1022.jpg'],"₹1,999.00",-,-,-,-,-,-,-,"₹1,250.00",-,-,-,-,-,-,-,-,-,-,-
Dug Dug Heat Shield Protection Guard for Royal Enfield Classic 350 BS6 – Black Mesh,"Weight
1.0 kg",-,DUGDUG-1276,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/02/dug-dug-royal-enfield-classic-reborn-meteor-bs6-heat-plate-silencer-plate-protection-3-510x1022.jpg'],"₹1,999.00",-,-,-,-,-,-,-,"₹1,250.00",-,-,-,-,-,-,-,-,-,-,-
Dug Dug Heat Shield Protection Guard for Royal Enfield Classic Reborn and Meteor 350 – Black Mesh,"Weight
1.0 kg",-,DUGDUG-1275,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/02/dug-dug-stainless-steel-heat-shield-for-royal-enfield-meteor-350-and-classic-reborn-2-min-510x766.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/02/dug-dug-royal-enfield-classic-reborn-meteor-bs6-heat-plate-silencer-plate-protection-2-510x1022.jpg']","₹1,999.00",-,-,-,-,-,-,-,₹950.00,-,-,-,-,-,-,-,-,-,-,-
Dug Dug Heat Shield Protection Guard for Royal Enfield Classic Reborn and Meteor 350,"Weight
1.0 kg",-,DUGDUG-1274,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/02/dug-dug-stainless-steel-heat-shield-for-royal-enfield-meteor-350-and-classic-reborn-min-510x340.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/02/dug-dug-royal-enfield-classic-reborn-meteor-bs6-heat-plate-silencer-plate-protection-1-510x1022.jpg']","₹1,999.00",-,-,-,-,-,-,-,₹950.00,-,-,-,-,-,-,-,-,-,-,-
Heat Shield for Royal Enfield – Matt Finish (Stainless Steel – 304),"Heat Shield for Royal Enfield – Silver Presenting, an all metal heat shield designed for Royal Enfield Motorcycles. This product is designed to considerably reduce the heat that emits from the bend pipe of the motorcycle. However, this will not entirely make the bend pipe heat proof, but can reduce the heat thus avoiding any accidental burns from happening. Also, the shotgun inspired design gives your motorcycle a bigger motorcycle feel like that of bigger cruiser motorcycles.








Weight
1.5 kg",-,DUGDUG-797,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2020/08/Heat-Shield-for-Royal-Enfield-SS304-1-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2020/08/Heat-Shield-for-Royal-Enfield-SS304-5-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2020/08/Heat-Shield-for-Royal-Enfield-SS304-4-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2020/08/Heat-Shield-for-Royal-Enfield-SS304-3-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2020/08/Heat-Shield-for-Royal-Enfield-SS304-2-510x510.jpg']","₹1,999.00",-,-,-,-,-,-,-,"₹1,350.00",-,-,-,-,-,-,-,-,-,-,-
Heat Shield for Royal Enfield – Chrome,"Weight
1.5 kg",-,DUGDUG-183,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2019/10/1098764756-scaled-510x645.jpg'],"₹1,999.00",-,-,-,-,-,-,-,"₹1,350.00",-,-,-,-,-,-,-,-,-,-,-
Heat Shield for Royal Enfield – Black,"Weight
1.5 kg",-,DUGDUG-184,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2019/10/1098764715-scaled-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2019/10/IMG-20190615-WA0025-1-scaled-510x509.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2019/10/IMG-20190615-WA0025-scaled-510x509.jpg']","₹1,999.00",-,-,-,-,-,-,-,"₹1,350.00",-,-,-,-,-,-,-,-,-,-,-
