Product name,Description,Slug,SKU,Auto Generate SKU,Categories,Status,Is featured?,Brand,Product collections,Labels,Taxes,Images,Price,Product attributes,Import type,Is variation default?,Stock status,With storehouse management,Quantity,Allow checkout when out of stock,Sale price,Start date sale price,End date sale price,Weight,Length,Wide,Height,Cost per item,Barcode,Content,Tags,Vendor
Dug Dug Windtone Horn for All Bikes,"The Dug Dug wind tone horn set is one of the best horn sets available today. With this you will never have to hear a faulty tone in your horns again. You can now buy this horn set at a reasonable price at amazon. This product takes in around 12 volts of power to function. It has a low tone of around 6 amp which is the maximum frequency in the low tone and the high tone has around 400 hz-500 hz. The sound pressure is at 110 db and the resistance at 3 m/ ohm min. The type of sound provided is trumpet and the harmonic dimension of the horn is 82 mm. You will easily be able to go ahead and use this horn for a long time due to the amazing service which it will provide you with. It is also designed in a very nice way ensuring that it fits properly in the vehicle without causing any hindrance. The Dug Dug  wind tone horn set contains 2 horns and connectors for your usage. This horn set can be perfectly used in any of vehicle of your choice.











Weight
1.5 kg",-,DUGDUG-691,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2020/06/Jalwa-Horn-for-All-bikes-heavy-quality-2-510x383.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2020/06/Jalwa-Horn-for-All-bikes-heavy-quality-1-510x383.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2020/06/Jalwa-Horn-for-All-bikes-heavy-quality-3-510x383.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2020/06/Jalwa-Horn-for-All-bikes-heavy-quality-4-510x580.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2020/06/Jalwa-Horn-for-All-bikes-heavy-quality-5-510x395.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2020/06/Jalwa-Horn-for-All-bikes-heavy-quality-6-510x383.jpg']",₹699.00,-,-,-,-,-,-,-,₹499.00,-,-,-,-,-,-,-,-,-,-,-
"Trumpet Horn for all Motorcycles – (12V, Set of 2 Pcs)","Premium Quality.
Vehicle Compatibility: All Bike, Motorcycle, Royal Enfield Bullet.
Made from rust proof, water proof and anti-corrosion premium quality material.
Clean wiring safe from soft circuit and easy to installation (install by professional).
Wiring Harness Included





Weight
1.5 kg",-,DUGDUG-230,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2019/10/1144870607.jpg'],₹299.00,-,-,-,-,-,-,-,₹299.00,-,-,-,-,-,-,-,-,-,-,-
"Small Roots Horns for all Motorcycles – 2 Months Warranty – (12V, Set of 2 Pcs)","Premium Quality.
Vehicle Compatibility: All Bike, Motorcycle, Royal Enfield Bullet.
Made from rust proof, water proof and anti-corrosion premium quality material.
Clean wiring safe from soft circuit and easy to installation (install by professional).
Wiring Harness Included





Weight
1.5 kg",-,DUGDUG-231,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2019/10/1144867807.jpg'],₹750.00,-,-,-,-,-,-,-,₹750.00,-,-,-,-,-,-,-,-,-,-,-
"Small Roots Horns for all Motorcycles – 2 Months Warranty – (12V, Set of 2 Pcs)","Premium Quality.
Vehicle Compatibility: All Bike, Motorcycle, Royal Enfield Bullet.
Made from rust proof, water proof and anti-corrosion premium quality material.
Clean wiring safe from soft circuit and easy to installation (install by professional).
Wiring Harness Included





Weight
1.5 kg",-,DUGDUG-231,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2019/10/1144867807.jpg'],₹750.00,-,-,-,-,-,-,-,₹750.00,-,-,-,-,-,-,-,-,-,-,-
"SHON Red Grill Horns for all Motorcycles – 2 Months Warranty – (12V, Set of 2 Pcs)","Premium Quality.
Vehicle Compatibility: All Bike, Motorcycle, Royal Enfield Bullet.
Made from rust proof, water proof and anti-corrosion premium quality material.
Clean wiring safe from soft circuit and easy to installation (install by professional).
Wiring Harness Included





Weight
1.5 kg",-,DUGDUG-232,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2019/10/1144867868-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2019/10/1_47d484bd-b3db-4ff2-8da5-5ef1ae5e2e46_1024x1024-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2019/10/4_90a7e9bc-ea2d-4e47-b639-f3d1970d1df0_1024x1024-510x510.jpg']",$26.35,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-
"ROOTS Windtone Horn for all Motorcycles – (12V, Set of 2 Pcs)","Premium Quality.
Vehicle Compatibility: All Bike, Motorcycle, Royal Enfield Bullet.
Made from rust proof, water proof and anti-corrosion premium quality material.
Clean wiring safe from soft circuit and easy to installation (install by professional).
Wiring Harness Included





Weight
1.5 kg",-,DUGDUG-233,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2019/10/1144867986-510x361.jpg'],"₹1,000.00",-,-,-,-,-,-,-,₹950.00,-,-,-,-,-,-,-,-,-,-,-
"Roots Vibrosonic High and Low Tone Horn for All Motorcycles (12V, Set of 2)","Premium Quality.
Vehicle Compatibility: All Bike, Motorcycle, Royal Enfield Bullet.
Made from rust proof, water proof and anti-corrosion premium quality material.
Clean wiring safe from soft circuit and easy to installation (install by professional).
Wiring Harness Included





Weight
2.1 kg",-,DUGDUG-234,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2019/10/1144878125-scaled-510x383.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2019/10/1144879138-scaled-510x383.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2019/10/1144878132-scaled-510x383.jpg']","₹2,999.00",-,-,-,-,-,-,-,"₹2,250.00",-,-,-,-,-,-,-,-,-,-,-
ROOTS Megasonic Horn for all Motorcycles,"Premium Quality.
Vehicle Compatibility: All Bike, Motorcycle, Royal Enfield Bullet.
Made from rust proof, water proof and anti-corrosion premium quality material.
Clean wiring safe from soft circuit and easy to installation (install by professional)





Weight
2.7 kg",-,DUGDUG-235,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2019/10/1144867966-scaled-510x274.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2019/10/0109643_roots-megasonic-high-and-low-tone-horn-12v-510x383.jpeg']","₹2,999.00",-,-,-,-,-,-,-,"₹2,250.00",-,-,-,-,-,-,-,-,-,-,-
Roots Horn Cover – Net Type,"Weight
0.2 kg",-,DUGDUG-236,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2019/10/1105055677-scaled-510x383.jpg'],₹199.00,-,-,-,-,-,-,-,₹199.00,-,-,-,-,-,-,-,-,-,-,-
"MINDA Trumpet Horn for all Motorcycles – (12V, Set of 2pcs)","Premium Quality.
Vehicle Compatibility: All Bike, Motorcycle, Royal Enfield Bullet.
Made from rust proof, water proof and anti-corrosion premium quality material.
Clean wiring safe from soft circuit and easy to installation (install by professional).
Wiring Harness Included





Weight
1.5 kg",-,DUGDUG-237,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2019/10/1144875075.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2019/10/61SYEvpFsNL._SX425_.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2019/10/maxresdefault-scaled-510x287.jpg']",₹770.00,-,-,-,-,-,-,-,₹750.00,-,-,-,-,-,-,-,-,-,-,-
