Product name,Description,Slug,SKU,Auto Generate SKU,Categories,Status,Is featured?,Brand,Product collections,Labels,Taxes,Images,Price,Product attributes,Import type,Is variation default?,Stock status,With storehouse management,Quantity,Allow checkout when out of stock,Sale price,Start date sale price,End date sale price,Weight,Length,Wide,Height,Cost per item,Barcode,Content,Tags,Vendor
Classic 350 Reborn K Indori with 3 Baffles Dug Dug Sound,"Weight
4.0 kg",-,DUGDUG-1650,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2023/09/Classic-350-Reborn-K-Indori-with-3-Baffles-Dug-Dug-Sound-2-510x680.webp', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2023/09/Classic-350-Reborn-K-Indori-with-3-Baffles-Dug-Dug-Sound-3-510x680.webp', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2023/09/Classic-350-Reborn-K-Indori-with-3-Baffles-Dug-Dug-Sound-1-510x680.webp', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2023/09/Classic-350-Reborn-K-Indori-with-3-Baffles-Dug-Dug-Sound-6-jpg.webp', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2023/09/Classic-350-Reborn-K-Indori-with-3-Baffles-Dug-Dug-Sound-5-510x493.webp', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2023/09/Classic-350-Reborn-K-Indori-with-3-Baffles-Dug-Dug-Sound-4-510x471.webp']","₹4,999.00",-,-,-,-,-,-,-,"₹2,250.00",-,-,-,-,-,-,-,-,-,-,-
K-Indori Exhaust with 3 Baffles Heat Shield for Royal Enfield Hunter 350 – Black,"Weight
3.5 kg",-,DUGDUG-1564,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2023/03/K-Indori-Exhaust-with-3-Baffles-for-Royal-Enfield-Hunter-350-510x506.jpg'],"₹5,999.00",-,-,-,-,-,-,-,"₹2,350.00",-,-,-,-,-,-,-,-,-,-,-
Dug Dug Original K-Indori 3 Baffle Exhaust with Heat Plate for Royal Enfield Classic Standard Electra – Black,"Weight
3.5 kg",-,DUGDUG-1423,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/04/dug-dug-royal-enfield-classic-3-baffle-k-indori-exhaust-silencer-10-min.jpg'],"₹3,999.00",-,-,-,-,-,-,-,"₹2,350.00",-,-,-,-,-,-,-,-,-,-,-
Dug Dug Original K-Indori 3 Baffle Exhaust Big Mouth for Royal Enfield Classic Standard Electra – Chrome,"Weight
3.5 kg",-,DUGDUG-1422,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/04/dug-dug-royal-enfield-classic-3-baffle-k-indori-exhaust-silencer-9-min.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/10/dug-dug-k-indori-exhaust-for-royal-enfield-2-1-510x907.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/10/dug-dug-k-indori-exhaust-for-royal-enfield-1-1-510x907.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/10/dug-dug-k-indori-exhaust-for-royal-enfield-4-1-510x907.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/10/dug-dug-k-indori-exhaust-for-royal-enfield-3-1-510x907.jpg']","₹3,999.00",-,-,-,-,-,-,-,"₹2,250.00",-,-,-,-,-,-,-,-,-,-,-
Dug Dug Original K-Indori 3 Baffle Exhaust Big Mouth for Royal Enfield Classic Standard Electra – Black,"Weight
3.5 kg",-,DUGDUG-1421,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/04/dug-dug-royal-enfield-classic-3-baffle-k-indori-exhaust-silencer-7-min.jpg'],"₹3,999.00",-,-,-,-,-,-,-,"₹2,350.00",-,-,-,-,-,-,-,-,-,-,-
Dug Dug Original K-Indori 3 Baffle Exhaust for Royal Enfield Classic Standard Electra – Chrome,"Weight
3.5 kg",-,DUGDUG-1420,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/04/dug-dug-royal-enfield-classic-3-baffle-k-indori-exhaust-silencer-6-min.jpg'],"₹3,999.00",-,-,-,-,-,-,-,"₹2,350.00",-,-,-,-,-,-,-,-,-,-,-
Dug Dug Original K-Indori 3 Baffle Exhaust for Royal Enfield Classic Standard Electra – Black,"Weight
3.5 kg",-,DUGDUG-1419,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/04/dug-dug-royal-enfield-classic-3-baffle-k-indori-exhaust-silencer-5-min.jpg'],"₹3,999.00",-,-,-,-,-,-,-,"₹2,350.00",-,-,-,-,-,-,-,-,-,-,-
Dug Dug Original K-Indori 3 Baffle Exhaust with Heat Plate for Royal Enfield Classic Standard Electra – Black,"Weight
3.5 kg",-,DUGDUG-1418,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/04/dug-dug-royal-enfield-classic-3-baffle-k-indori-exhaust-silencer-4-min.jpg'],"₹3,999.00",-,-,-,-,-,-,-,"₹2,350.00",-,-,-,-,-,-,-,-,-,-,-
Dug Dug Original K-Indori 3 Baffle Exhaust with Heat Plate for Royal Enfield Classic Standard Electra – Chrome,"Weight
3.5 kg",-,DUGDUG-1416,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/04/dug-dug-royal-enfield-classic-3-baffle-k-indori-exhaust-silencer-3-min-510x510.jpg'],"₹3,999.00",-,-,-,-,-,-,-,"₹2,350.00",-,-,-,-,-,-,-,-,-,-,-
Dug Dug Original K-Indori 3 Baffle Exhaust for Royal Enfield Classic Standard Electra – Chrome,"Weight
3.5 kg",-,DUGDUG-1417,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/04/dug-dug-royal-enfield-classic-3-baffle-k-indori-exhaust-silencer-2-min-510x378.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/04/dug-dug-royal-enfield-classic-3-baffle-k-indori-exhaust-silencer-13-min-510x378.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/04/dug-dug-royal-enfield-classic-3-baffle-k-indori-exhaust-silencer-1-min-510x510.jpg']","₹3,999.00",-,-,-,-,-,-,-,"₹2,250.00",-,-,-,-,-,-,-,-,-,-,-
