Product name,Description,Slug,SKU,Auto Generate SKU,Categories,Status,Is featured?,Brand,Product collections,Labels,Taxes,Images,Price,Product attributes,Import type,Is variation default?,Stock status,With storehouse management,Quantity,Allow checkout when out of stock,Sale price,Start date sale price,End date sale price,Weight,Length,Wide,Height,Cost per item,Barcode,Content,Tags,Vendor
Self Defense Baseball Leg Guard with Rod for Royal Enfield Hunter 350,"Weight
3.5 kg",-,DUGDUG-1521,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/11/dug-dug-royal-enfield-hunter-350-self-defense-baseball-crash-guard-510x842.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/11/dug-dug-royal-enfield-self-defense-baseball-leg-guard-510x680.jpg']","₹1,999.00",-,-,-,-,-,-,-,"₹1,550.00",-,-,-,-,-,-,-,-,-,-,-
Royal Enfield Hunter 350 Self Defense Baseball Leg Guard,"Weight
3.5 kg",-,DUGDUG-1472,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/09/IMG-20220906-WA0008-510x680.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/10/dug-dug-self-defense-baseball-leg-guard-royal-enfield-hunter-350-510x907.jpg']","₹1,999.00",-,-,-,-,-,-,-,"₹1,600.00",-,-,-,-,-,-,-,-,-,-,-
Royal Enfield Hunter 350 Crash Guard Direct Fitting – Black,"Weight
3.0 kg",-,DUGDUG-1467,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2023/10/royal-enfield-hunter-350-oem-type-crash-guard-3-510x510.webp', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2023/10/royal-enfield-hunter-350-oem-type-crash-guard-4-510x510.webp', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2023/10/royal-enfield-hunter-350-oem-type-crash-guard-2-510x510.webp', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2023/10/royal-enfield-hunter-350-oem-type-crash-guard-1-510x510.webp', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2023/10/royal-enfield-hunter-350-oem-type-crash-guard-5-510x510.webp']","₹3,999.00",-,-,-,-,-,-,-,"₹2,200.00",-,-,-,-,-,-,-,-,-,-,-
Crash Guard with Slider for Royal Enfield Hunter 350 Type 2,"Weight
5.0 kg",-,DUGDUG-1460,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/09/d677ecb958f347c6b1887e5662a942ff-510x1124.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/09/da1317e6fa7148cabe9f8fee53752193-510x1124.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/09/e48f3f60df1a4871951c8bed1db6c9b5-510x1124.jpg']","₹5,500.00",-,-,-,-,-,-,-,"₹3,300.00",-,-,-,-,-,-,-,-,-,-,-
Crash Guard with Slider for Royal Enfield Hunter 350 Type 1,"Weight
4.5 kg",-,DUGDUG-1459,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/09/IMG-20220918-WA0011-510x287.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/12/crash-guard-with-slider-for-royal-enfield-hunter-350-type-1-510x650.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/10/dug-dug-hunter-350-crash-guard--510x471.jpg']","₹4,999.00",-,-,-,-,-,-,-,"₹2,500.00",-,-,-,-,-,-,-,-,-,-,-
Airfly 3 Rod Crash Guard for Royal Enfield Hunter 350 – Stainless Steel,"Weight
4.5 kg",-,DUGDUG-1458,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/09/IMG-20220918-WA0004-510x255.jpg'],"₹4,999.00",-,-,-,-,-,-,-,"₹2,999.00",-,-,-,-,-,-,-,-,-,-,-
Airfly 3 Rod Crash Guard for Royal Enfield Hunter 350 – Black,"Weight
4.5 kg",-,DUGDUG-1457,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/09/IMG-20220918-WA0003-510x248.jpg'],"₹3,999.00",-,-,-,-,-,-,-,"₹2,500.00",-,-,-,-,-,-,-,-,-,-,-
New Airfly 3 Rod Crash Guard for Royal Enfield Hunter 350 – Black,"Weight
4.0 kg",-,DUGDUG-1434,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/08/IMG-20220828-WA0032-510x383.jpg'],"₹3,999.00",-,-,-,-,-,-,-,"₹2,500.00",-,-,-,-,-,-,-,-,-,-,-
EVO Crash Guard for Royal Enfield Hunter 350 – Stainless Steel,"Weight
4.0 kg",-,DUGDUG-1430,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/08/IMG-20220828-WA0008-510x477.jpg'],"₹3,999.00",-,-,-,-,-,-,-,"₹2,999.00",-,-,-,-,-,-,-,-,-,-,-
Dug Dug Self Defense Leg Guard Crash Guard Single Rod for Hero Splendor,"Weight
3.5 kg",-,DUGDUG-1367,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/03/dug-dug-splendor-self-defense-rod-leg-guard-2-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/03/dug-dug-splendor-self-defense-rod-leg-guard-6-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/03/dug-dug-splendor-self-defense-rod-leg-guard-5-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/03/dug-dug-splendor-self-defense-rod-leg-guard-4-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/03/dug-dug-splendor-self-defense-rod-leg-guard-3-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/03/dug-dug-splendor-self-defense-rod-leg-guard-7-510x510.jpg']","₹1,500.00",-,-,-,-,-,-,-,₹850.00,-,-,-,-,-,-,-,-,-,-,-
