Product name,Description,Slug,SKU,Auto Generate SKU,Categories,Status,Is featured?,Brand,Product collections,Labels,Taxes,Images,Price,Product attributes,Import type,Is variation default?,Stock status,With storehouse management,Quantity,Allow checkout when out of stock,Sale price,Start date sale price,End date sale price,Weight,Length,Wide,Height,Cost per item,Barcode,Content,Tags,Vendor
Dug Dug 66bhp Foamy Adhesive Grease Chain Lube – 150ml,"Weight
0.25 kg",-,DUGDUG-1380,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/03/dug-dug-66-bhp-fully-synthetic-chain-cleaner-chain-lube-3-510x510.jpg'],₹299.00,-,-,-,-,-,-,-,₹190.00,-,-,-,-,-,-,-,-,-,-,-
Dug Dug 66bhp Fully Synthetic Chain Lube Chain Cleaner & Chain Brush Combo,"Weight
0.5 kg",-,DUGDUG-1379,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/03/dug-dug-66-bhp-fully-synthetic-chain-cleaner-chain-lube-1-510x510.jpg'],₹599.00,-,-,-,-,-,-,-,₹499.00,-,-,-,-,-,-,-,-,-,-,-
Dug Dug 66bhp Fully Synthetic Chain Cleaner – 150ml,"Weight
0.25 kg",-,DUGDUG-1378,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/03/dug-dug-66-bhp-fully-synthetic-chain-cleaner-chain-lube-510x510.jpg'],₹299.00,-,-,-,-,-,-,-,₹190.00,-,-,-,-,-,-,-,-,-,-,-
Dug Dug 66bhp Fully Synthetic Chain Lube – 150ml,"Weight
0.25 kg",-,DUGDUG-1377,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/03/dug-dug-66-bhp-fully-synthetic-chain-cleaner-chain-lube-2-510x510.jpg'],₹299.00,-,-,-,-,-,-,-,₹190.00,-,-,-,-,-,-,-,-,-,-,-
Dug Dug WESAF Motorcycle Shiner Polish Shine for All Bikes,"Weight
0.45 kg",-,DUGDUG-1143,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2021/08/dug-dug-bike-polish-shine-wax-cleaner-510x510.jpg'],₹175.00,-,-,-,-,-,-,-,₹120.00,-,-,-,-,-,-,-,-,-,-,-
Dug Dug WESAF Motorcycle Chain Cleaner for Bikes,"Weight
0.45 kg",-,DUGDUG-1142,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2021/08/dug-dug-chain-cleaner-lubricant-brush-combo-kit-1-510x510.jpg'],$5.43,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-
Dug Dug Motorcycle Universal Chain Cleaner Brush for Bikes,"Vehicle Compatibility: All Two Wheelers (Geared and Non-Geared of any Model)
Made of high-quality ABS Plastic ensure durability both in terms of life and shape. Abrasion Resistant Nylon Bristles are hard enough to ensure thorough cleaning but also soft enough to ensure flexibility
Multiple Application: Bracket layout has been specially designed for Chain and the vertical bristles for other parts like the engine block, sprocket, etc.
The Bracket layout can be disassembled to suit different conditions and parts of the motorcycle thereby enhancing the utility of the brush
Simple designing and smooth body surface makes this product super easy to clean. Must have accessory for Bikers who indulge in Off-Roading, Up Hill Travelling, High-Speed Riding, etc




Weight
0.25 kg",-,DUGDUG-1141,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2021/08/dug-dug-chain-cleaner-lubricant-brush-510x510.jpg'],₹199.00,-,-,-,-,-,-,-,₹80.00,-,-,-,-,-,-,-,-,-,-,-
Dug Dug WESAF Chain Lubricant Cleaner and Brush Combo Kit for Motorcycles,"Weight
0.45 kg",-,DUGDUG-1140,-,-,-,-,,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2021/08/dug-dug-chain-cleaner-lubricant-brush-combo-kit_001-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2021/08/dug-dug-chain-cleaner-lubricant-brush-combo-kit-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2021/08/dug-dug-chain-cleaner-lubricant-brush-combo-kit-1-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2021/08/dug-dug-chain-cleaner-lubricant-brush-510x510.jpg']",₹499.00,-,-,-,-,-,-,-,₹325.00,-,-,-,-,-,-,-,-,-,-,-
WESAF Tyre Polish Creme Spray,"Weight
0.5 kg",-,DUGDUG-849,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2020/09/Dug-Dug-Tyre-Polish-for-Cars-and-Motorcycles-2-510x470.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2020/09/Dug-Dug-Tyre-Polish-for-Cars-and-Motorcycles-1-510x489.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2020/09/Dug-Dug-Tyre-Polish-for-Cars-and-Motorcycles-3-510x459.jpg']",₹299.00,-,-,-,-,-,-,-,₹199.00,-,-,-,-,-,-,-,-,-,-,-
Euro Gold Bike Wax Spray Teflon Coating for All Motorcycles,"Weight
0.5 kg",-,DUGDUG-847,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2020/09/Dug-Dug-Euro-Gold-Spray-Foam-Bike-Polish-2-510x481.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2020/09/Dug-Dug-Euro-Gold-Spray-Foam-Bike-Polish-1-510x513.jpg']",₹175.00,-,-,-,-,-,-,-,₹175.00,-,-,-,-,-,-,-,-,-,-,-
