Product name,Description,Slug,SKU,Auto Generate SKU,Categories,Status,Is featured?,Brand,Product collections,Labels,Taxes,Images,Price,Product attributes,Import type,Is variation default?,Stock status,With storehouse management,Quantity,Allow checkout when out of stock,Sale price,Start date sale price,End date sale price,Weight,Length,Wide,Height,Cost per item,Barcode,Content,Tags,Vendor
Diamond Cushion Seat Cover with Rider and Pillion Backrest for Royal Enfield Hunter 350,"Weight
1.0 kg",-,DUGDUG-1560,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2023/03/Diamond-Cushion-Seat-Cover-with-Rider-and-Pillion-Backrest-for-Royal-Enfield-Hunter-350.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2023/03/Diamond-Cushion-Seat-Cover-with-Rider-and-Pillion-Backrest-for-Royal-Enfield-Hunter-350-1.jpg']","₹1,699.00",-,-,-,-,-,-,-,₹799.00,-,-,-,-,-,-,-,-,-,-,-
New Hunter 350 Seat Cover with Stripes – Black,"Weight
0.5 kg",-,DUGDUG-1522,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/11/dug-dug-royal-enfield-hunter-350-seat-cover-510x907.jpg'],₹999.00,-,-,-,-,-,-,-,₹399.00,-,-,-,-,-,-,-,-,-,-,-
Royal Enfield Classic Reborn Seat Cover Type 6,"Weight
0.5 kg",-,DUGDUG-1482,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/09/IMG-20220907-WA0009-510x510.jpg'],$30.97,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-
Royal Enfield Reborn Seat Cover Type 5,"Weight
0.5 kg",-,DUGDUG-1481,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/09/IMG-20220907-WA0028-510x1053.jpg'],₹999.00,-,-,-,-,-,-,-,₹550.00,-,-,-,-,-,-,-,-,-,-,-
Royal Enfield Reborn Seat Cover Type 4,"Weight
0.5 kg",-,DUGDUG-1480,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/09/IMG-20220907-WA0027-510x1099.jpg'],₹999.00,-,-,-,-,-,-,-,₹550.00,-,-,-,-,-,-,-,-,-,-,-
Royal Enfield Reborn Seat Cover Type 3,"Weight
0.5 kg",-,DUGDUG-1479,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/09/IMG-20220907-WA0026-510x1095.jpg'],$30.97,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-
Royal Enfield Reborn Seat Cover Type 2,"Weight
0.5 kg",-,DUGDUG-1478,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/09/IMG-20220907-WA0021-510x550.jpg'],₹999.00,-,-,-,-,-,-,-,₹450.00,-,-,-,-,-,-,-,-,-,-,-
Royal Enfield Reborn Seat Cover Type 1,"Weight
0.5 kg",-,DUGDUG-1477,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/09/IMG-20220907-WA0020-510x1023.jpg'],₹999.00,-,-,-,-,-,-,-,₹450.00,-,-,-,-,-,-,-,-,-,-,-
Cushion Seat Cover with Backrest for Royal Enfield Hunter 350,"Weight
1.0 kg",-,DUGDUG-1465,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2023/03/Cushion-Seat-Cover-with-Rider-and-Pillion-Backrest-for-Royal-Enfield-Hunter-350.jpg'],₹999.00,-,-,-,-,-,-,-,₹799.00,-,-,-,-,-,-,-,-,-,-,-
Royal Enfield Seat Cover Classic 350 – Black,"Weight
0.5 kg",-,DUGDUG-1149,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2021/09/black-seat-cover-for-royal-enfield-classic-350-1-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2021/09/black-seat-cover-for-royal-enfield-classic-350-2-510x510.jpg']",₹799.00,-,-,-,-,-,-,-,₹450.00,-,-,-,-,-,-,-,-,-,-,-
Royal Enfield Standard 350 Seat Cover – Black,"Weight
0.5 kg",-,DUGDUG-1144,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2021/08/royal-enfield-standard-seat-cover-dug-dug-motorcycles-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2021/08/royal-enfield-standard-seat-cover-dug-dug-motorcycles-1-510x510.jpg']",$21.67,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-
