Product name,Description,Slug,SKU,Auto Generate SKU,Categories,Status,Is featured?,Brand,Product collections,Labels,Taxes,Images,Price,Product attributes,Import type,Is variation default?,Stock status,With storehouse management,Quantity,Allow checkout when out of stock,Sale price,Start date sale price,End date sale price,Weight,Length,Wide,Height,Cost per item,Barcode,Content,Tags,Vendor
Kabir Singh Seat for Classic 350 – Black,-,-,DUGDUG-1697,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2023/10/kabir-singh-seat-for-classic-350-royal-enfield-black-4-510x510.webp', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2023/10/kabir-singh-seat-for-classic-350-royal-enfield-black-5-510x510.webp', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2023/10/kabir-singh-seat-for-classic-350-royal-enfield-black-3-510x510.webp', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2023/10/kabir-singh-seat-for-classic-350-royal-enfield-black-2-510x510.webp', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2023/10/kabir-singh-seat-for-classic-350-royal-enfield-black-1-510x510.webp']","₹2,999.00",-,-,-,-,-,-,-,"₹2,250.00",-,-,-,-,-,-,-,-,-,-,-
Dug Dug Folding Seat for Royal Enfield Bullet Standard 350 Electra 350 – Black,"Folding Seat for Royal Enfield
Dug Dug presents all-new Heavy Quality Folding Seat for Royal Enfield Standard 350 Electra 350 all Models. Dug Dug Folding Seat is contoured to fit the rider’s body shape. This design helps distribute the rider’s weight evenly, reducing pressure points and discomfort during long rides. Made from premium quality material. 
The type and quality of padding used in our Foldable Seat greatly impacts comfort. Our High-density foam provides support and helps reduce vibrations and absorb shocks. The width of the seat plays a role in rider comfort. Our wider seat can provide more room for the rider to move around, while other narrower seats can discomfort the rider. Rear Seat Load Capacity: Up To 100kg. 
The fabric used in our foldable seat and the stitching pattern affects both aesthetics and comfort. Our seats feature double stitching for added durability. Dug Dug Foldable Seat with sufficient padding for passengers is essential for a comfortable two-up riding experience and once ride is done you can hide Rear Seat When Not In Use.




Weight
4.5 kg",-,DUGDUG-1644,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2023/09/dug-dug-folding-seat-for-royal-enfield-standard-350-electra-350-black-510x383.webp'],"₹4,999.00",-,-,-,-,-,-,-,"₹2,800.00",-,-,-,-,-,-,-,-,-,-,-
Half Cross Stitch Kabir Singh Seat for Royal Enfield Classic Standard Electra UCE,"Weight
3.5 kg",-,DUGDUG-1528,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/12/kabir-singh-leather-seat-for-royal-enfield-classic-standard-electra-510x663.jpg'],"₹3,999.00",-,-,-,-,-,-,-,"₹2,500.00",-,-,-,-,-,-,-,-,-,-,-
Dug Dug Cruiser Comfortable Cushion Seat for Royal Enfield Meteor 350 – Black,"Weight
4.0 kg",-,DUGDUG-1343,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/02/dug-dug-royal-enfield-meteor-350-cruiser-seat-510x510.jpg'],"₹5,999.00",-,-,-,-,-,-,-,"₹4,000.00",-,-,-,-,-,-,-,-,-,-,-
Low Rider Seat For Lower Height Comfortable Seat for Royal Enfield Classic Standard Electra,"Weight
3.5 kg",-,DUGDUG-1333,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/02/dug-dug-Royal-enfield-low-rider-seat-low-height-comfortable-seat-for-classuc-standard-electra.jpg-1-510x248.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/02/dug-dug-Royal-enfield-low-rider-seat-low-height-comfortable-seat-for-classuc-standard-electra.jpg-2-510x248.jpg']","₹3,500.00",-,-,-,-,-,-,-,"₹2,400.00",-,-,-,-,-,-,-,-,-,-,-
Dug Dug Comfortable Cushion Touring Seat for Royal Enfield Interceptor 650 and Continental GT – Type 6,"Weight
3.5 kg",-,DUGDUG-1320,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/02/dug-dug-royal-enfield-interceptor-touring-seat-comfortable-cushion-seat-4-510x510.jpg'],"₹5,999.00",-,-,-,-,-,-,-,"₹3,800.00",-,-,-,-,-,-,-,-,-,-,-
Dug Dug Comfortable Cushion Touring Seat for Royal Enfield Interceptor 650 and Continental GT – Type 5,"Weight
3.5 kg",-,DUGDUG-1319,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/02/dug-dug-royal-enfield-interceptor-touring-seat-comfortable-cushion-seat-3-510x510.jpg'],"₹5,000.00",-,-,-,-,-,-,-,"₹3,800.00",-,-,-,-,-,-,-,-,-,-,-
Dug Dug Comfortable Cushion Touring Seat for Royal Enfield Interceptor 650 and Continental GT – Type 3,"Weight
3.5 kg",-,DUGDUG-1317,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/02/dug-dug-royal-enfield-interceptor-touring-seat-comfortable-cushion-seat-1-510x510.jpg'],"₹5,999.00",-,-,-,-,-,-,-,"₹3,800.00",-,-,-,-,-,-,-,-,-,-,-
Dug Dug Comfortable Cushion Touring Seat for Royal Enfield Interceptor 650 and Continental GT – Type 2,"Weight
3.5 kg",-,DUGDUG-1316,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/02/dug-dug-royal-enfield-interceptor-touring-seat-comfortable-cushion-seat-6-510x510.jpg'],"₹5,999.00",-,-,-,-,-,-,-,"₹3,800.00",-,-,-,-,-,-,-,-,-,-,-
Dug Dug Comfortable Cushion Touring Seat for Royal Enfield Interceptor 650 and Continental GT – Type 1,"Weight
3.5 kg",-,DUGDUG-1315,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/02/dug-dug-royal-enfield-interceptor-touring-seat-comfortable-cushion-seat-5-510x510.jpg'],"₹5,999.00",-,-,-,-,-,-,-,"₹3,800.00",-,-,-,-,-,-,-,-,-,-,-
Dug Dug Royal Enfield Foldable Seat Heavy Quality for Royal Enfield Classic 350 – Brown,"Royal Enfield Foldable Seat
Dug Dug presents all-new Heavy Quality Foldable Seat for Classic 350 Royal Enfield . Dug Dug Foldable Seat is contoured to fit the rider’s body shape. This design helps distribute the rider’s weight evenly, reducing pressure points and discomfort during long rides. Made from premium quality material. 
The type and quality of padding used in our Foldable Seat greatly impacts comfort. Our High-density foam provides support and helps reduce vibrations and absorb shocks. The width of the seat plays a role in rider comfort. Our wider seat can provide more room for the rider to move around, while other narrower seats can discomfort the rider. Rear Seat Load Capacity: Up To 100kg. 
The fabric used in our foldable seat and the stitching pattern affects both aesthetics and comfort. Our seats feature double stitching for added durability. Dug Dug Foldable Seat with sufficient padding for passengers is essential for a comfortable two-up riding experience and once ride is done you can hide Rear Seat When Not In Use.




Weight
4.5 kg",-,DUGDUG-1264,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/02/dug-dug-royal-enfield-foldable-seat-for-classic-350-3-jpg.webp', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/02/dug-dug-royal-enfield-folding-seat-for-classic-350-4.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/02/dug-dug-royal-enfield-folding-seat-for-classic-350-1.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/02/dug-dug-royal-enfield-folding-seat-for-classic-350-2.jpg']","₹4,999.00",-,-,-,-,-,-,-,"₹2,800.00",-,-,-,-,-,-,-,-,-,-,-
Dug Dug Folding Seat for Classic 350 Royal Enfield  – Black,"Folding Seat for Classic 350
Dug Dug presents all-new Heavy Quality Folding Seat for Classic 350 Royal Enfield . Dug Dug Folding Seat is contoured to fit the rider’s body shape. This design helps distribute the rider’s weight evenly, reducing pressure points and discomfort during long rides. Made from premium quality material. 
The type and quality of padding used in our Foldable Seat greatly impacts comfort. Our High-density foam provides support and helps reduce vibrations and absorb shocks. The width of the seat plays a role in rider comfort. Our wider seat can provide more room for the rider to move around, while other narrower seats can discomfort the rider. Rear Seat Load Capacity: Up To 100kg. 
The fabric used in our foldable seat and the stitching pattern affects both aesthetics and comfort. Our seats feature double stitching for added durability. Dug Dug Foldable Seat with sufficient padding for passengers is essential for a comfortable two-up riding experience and once ride is done you can hide Rear Seat When Not In Use.




Weight
4.5 kg",-,DUGDUG-1263,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/02/dug-dug-folding-seat-for-classic-350-royal-enfield-510x383.webp'],"₹4,999.00",-,-,-,-,-,-,-,"₹2,800.00",-,-,-,-,-,-,-,-,-,-,-
