Product name,Description,Slug,SKU,Auto Generate SKU,Categories,Status,Is featured?,Brand,Product collections,Labels,Taxes,Images,Price,Product attributes,Import type,Is variation default?,Stock status,With storehouse management,Quantity,Allow checkout when out of stock,Sale price,Start date sale price,End date sale price,Weight,Length,Wide,Height,Cost per item,Barcode,Content,Tags,Vendor
Dug Dug 5 in 1 Protection Kit for Royal Enfield Super Meteor 650,"Weight
2.0 kg",-,DUGDUG-1615,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2023/07/Dug-Dug-Super-Meteor-650-Kit-Radiator-Grill-Side-Stand-Sleeve-Headlight-Grill-Brake-Oil-Cap-2-510x684.jpg'],"₹3,999.00",-,-,-,-,-,-,-,"₹1,999.00",-,-,-,-,-,-,-,-,-,-,-
Side Stand Sleeve for Royal Enfield Hunter 350 – Black,"Weight
0.5 kg",-,DUGDUG-1583,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2023/05/royal-enfield-hunter-350-side-stand-sleeve-black-510x510.jpg'],$30.97,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-
Dug Dug Side Stand Extender Sleeve for Royal Enfield Classic Reborn Stainless Steel – Black,"Weight
0.5 kg",-,DUGDUG-1332,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/02/dug-dug-stainless-steel-stainless-steel-side-stand-extender-for-royal-enfield-classic-reborn-min.jpg'],$30.97,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-
Dug Dug Side Stand Extender Sleeve for Royal Enfield Classic Reborn Stainless Steel,"Weight
0.5 kg",-,DUGDUG-1331,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/02/dug-dug-classic-reborn-royal-enfield-side-stand-extender-sleeve-1-min-510x470.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/02/dug-dug-classic-reborn-royal-enfield-side-stand-extender-sleeve-2-min-510x422.jpg']",₹999.00,-,-,-,-,-,-,-,₹550.00,-,-,-,-,-,-,-,-,-,-,-
Dug Dug Side Stand Extender Sleeve for Royal Enfield Meteor 350 Stainless Steel,"Weight
0.5 kg",-,DUGDUG-1330,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/02/dug-dug-meteor-350-side-stand-extender-sleeve-ss304-2-510x333.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/02/dug-dug-meteor-350-side-stand-extender-sleeve-ss304-1-510x299.jpg']",$30.97,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-
Dug Dug Side Stand Extender Sleeve for Royal Enfield Meteor 350 Stainless Steel – Black,"Weight
0.5 kg",-,DUGDUG-1329,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/02/dug-dug-stainless-steel-stainless-steel-side-stand-extender-for-royal-enfield-meteor-350-2-510x444.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/02/dug-dug-stainless-steel-stainless-steel-side-stand-extender-for-royal-enfield-meteor-350-1-510x457.jpg']",$29.45,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-
Dug Dug Side Stand Extender Sleeve for for Honda H’ness CB350 – SS-304,"Weight
0.5 kg",-,DUGDUG-1295,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/02/dug-dug-side-side-extender-sleeve-for-honda-hness-cb-350-2-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/02/dug-dug-side-side-extender-sleeve-for-honda-hness-cb-350-1-510x510.jpg']","₹1,850.00",-,-,-,-,-,-,-,₹650.00,-,-,-,-,-,-,-,-,-,-,-
Dug Dug KTM Side Stand Sleeve – Silver,"Weight
0.45 kg",-,DUGDUG-1190,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2021/10/dug-dug-ktm-side-stand-sleeve-for-ktm-duke-ktm-rc-1-510x482.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2021/10/dug-dug-ktm-side-stand-sleeve-for-ktm-duke-ktm-rc-3-510x335.jpg']",$30.97,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-
Dug Dug KTM Side Stand Sleeve – Silver,"Weight
0.45 kg",-,DUGDUG-1190,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2021/10/dug-dug-ktm-side-stand-sleeve-for-ktm-duke-ktm-rc-1-510x482.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2021/10/dug-dug-ktm-side-stand-sleeve-for-ktm-duke-ktm-rc-3-510x335.jpg']",$30.97,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-
Dug Dug SS-304 Hero Xpulse Side Stand Sleeve,"Weight
0.5 kg",-,DUGDUG-1167,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2021/09/hero-xpulse-side-stand-extender-4-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2021/09/hero-xpulse-side-stand-extender-3-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2021/09/hero-xpulse-side-stand-extender-2-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2021/09/hero-xpulse-side-stand-extender-1-510x510.jpg']",$34.78,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-
