Product name,Description,Slug,SKU,Auto Generate SKU,Categories,Status,Is featured?,Brand,Product collections,Labels,Taxes,Images,Price,Product attributes,Import type,Is variation default?,Stock status,With storehouse management,Quantity,Allow checkout when out of stock,Sale price,Start date sale price,End date sale price,Weight,Length,Wide,Height,Cost per item,Barcode,Content,Tags,Vendor
Dug Dug Touring Kit for Royal Enfield Hunter 350 Type 2,"Weight
10 kg",-,DUGDUG-1507,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/10/Dug-Dug-Touring-Kit-for-Royal-Enfield-Hunter-350-Type-2-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/09/e48f3f60df1a4871951c8bed1db6c9b5-510x1124.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/09/da1317e6fa7148cabe9f8fee53752193-510x1124.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/09/d677ecb958f347c6b1887e5662a942ff-510x1124.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/10/dug-dug-hunter-350-saddle-stay-510x366.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/10/IMG-20221001-WA0058-510x416.jpg']","₹11,000.00",-,-,-,-,-,-,-,"₹7,500.00",-,-,-,-,-,-,-,-,-,-,-
Dug Dug Touring Kit for Royal Enfield Hunter 350 Type 1,"Weight
10 kg",-,DUGDUG-1506,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/10/Dug-Dug-Touring-Kit-for-Royal-Enfield-Hunter-350-Type-1-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/09/IMG-20220918-WA0011-510x287.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/10/dug-dug-hunter-350-crash-guard--510x471.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/10/dug-dug-hunter-350-saddle-stay-510x366.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/10/IMG-20221001-WA0058-510x416.jpg']","₹9,999.00",-,-,-,-,-,-,-,"₹6,200.00",-,-,-,-,-,-,-,-,-,-,-
Ladakh Carrier for Royal Enfield Himalayan,"Weight
5.0 kg",-,DUGDUG-1471,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/09/77e71f7e7f57413586f0059b086ceb1e-510x230.jpg'],"₹9,999.00",-,-,-,-,-,-,-,"₹2,999.00",-,-,-,-,-,-,-,-,-,-,-
"Universal 5L Petrol Jerry Can for Motorcycle, Thar with Lock System – Black – 1pc","Specification:
Type: Jerry Can
Material: Polyethylene
Applications: Fit for Motorcycle 4X4 ATV UTV All Vehicles, Motorcycles, Offroad
Features: Cans Tank, anti-static, high toughness, oil resistant, anti-corrosion, anti-static, anti-UV, motorcycle accessories
Color: Red
Quantity: 1 Pc




Weight
2.0 kg",-,DUGDUG-1463,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2023/05/jerry-can-with-lock-for-royal-enfield-himalayan-all-bikes-dug-dgu-motorcycles-2-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2022/09/deaba4db69254372b9a9abd0c59fd929-510x230.jpg']","₹5,500.00",-,-,-,-,-,-,-,"₹2,100.00",-,-,-,-,-,-,-,-,-,-,-
Dug Dug Saddle Stay for Royal Enfield Thunderbird,"Weight
3.0 kg",-,DUGDUG-1306,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2021/02/dug-dug-saddle-stay-for-royal-enfield-classic-510x464.jpg'],"₹1,850.00",-,-,-,-,-,-,-,"₹1,850.00",-,-,-,-,-,-,-,-,-,-,-
Dug Dug Saddle Stay for Royal Enfield Meteor 350 Type II,"Weight
3.0 kg",-,DUGDUG-1305,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2021/02/dug-dug-saddle-stay-for-royal-enfield-classic-510x464.jpg'],"₹2,999.00",-,-,-,-,-,-,-,"₹1,850.00",-,-,-,-,-,-,-,-,-,-,-
Dug Dug Saddle Stay for Royal Enfield Meteor 350 Type II,"Weight
3.0 kg",-,DUGDUG-1305,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2021/02/dug-dug-saddle-stay-for-royal-enfield-classic-510x464.jpg'],"₹2,999.00",-,-,-,-,-,-,-,"₹1,850.00",-,-,-,-,-,-,-,-,-,-,-
Studds Fitting Rack For Top Box Luggage Storage Case for Bajaj Avenger,"Weight
3.0 kg",-,DUGDUG-1304,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/02/dug-dug-studds-fitting-rack-for-avenger.jpg'],₹650.00,-,-,-,-,-,-,-,₹650.00,-,-,-,-,-,-,-,-,-,-,-
Studds Fitting Rack For Top Box Luggage Storage Case for Royal Enfield Meteor 350,"Weight
3.0 kg",-,DUGDUG-1303,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/02/dug-dug-studds-top-case-fitting-rack-for-Classic-Standard-Electra-Meteor-510x510.jpg'],₹650.00,-,-,-,-,-,-,-,₹650.00,-,-,-,-,-,-,-,-,-,-,-
Studds Fitting Rack For Top Box Luggage Storage Case for Royal Enfield Meteor 350,"Weight
3.0 kg",-,DUGDUG-1303,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2022/02/dug-dug-studds-top-case-fitting-rack-for-Classic-Standard-Electra-Meteor-510x510.jpg'],₹650.00,-,-,-,-,-,-,-,₹650.00,-,-,-,-,-,-,-,-,-,-,-
